split,group_col,group_value,level,count,actual_coverage,expected_coverage,coverage_error,avg_interval_width,enough_sample
test,season,0.0,0.8,3424,0.9237733644859814,0.8,0.12377336448598131,3.772700916259106,True
test,season,1.0,0.8,3977,0.853909982398793,0.8,0.053909982398792966,3.7847989703919898,True
test,season,2.0,0.8,2116,0.7906427221172023,0.8,-0.009357277882797721,4.027846283547248,True
test,season,3.0,0.8,2093,0.9684663162924032,0.8,0.16846631629240316,3.7330906675405475,True
test,forecast_horizon_hours,-8.0,0.8,505,0.9445544554455445,0.8,0.14455445544554446,3.749323007720656,True
test,forecast_horizon_hours,-7.0,0.8,505,0.9405940594059405,0.8,0.1405940594059405,3.7463982759503986,True
test,forecast_horizon_hours,-6.0,0.8,505,0.9386138613861386,0.8,0.13861386138613851,3.7374948107799537,True
test,forecast_horizon_hours,-5.0,0.8,505,0.9366336633663367,0.8,0.13663366336633664,3.7293062035188287,True
test,forecast_horizon_hours,-4.0,0.8,505,0.9386138613861386,0.8,0.13861386138613851,3.7311775147370234,True
test,forecast_horizon_hours,-3.0,0.8,505,0.9346534653465347,0.8,0.13465346534653466,3.7309755303869876,True
test,forecast_horizon_hours,-2.0,0.8,504,0.9325396825396826,0.8,0.1325396825396825,3.740985653967063,True
test,forecast_horizon_hours,-1.0,0.8,504,0.9265873015873016,0.8,0.12658730158730158,3.752947282148851,True
test,forecast_horizon_hours,0.0,0.8,505,0.9148514851485149,0.8,0.11485148514851484,3.770356079980834,True
test,forecast_horizon_hours,1.0,0.8,504,0.8948412698412699,0.8,0.09484126984126984,3.797663626124957,True
test,forecast_horizon_hours,2.0,0.8,504,0.878968253968254,0.8,0.07896825396825391,3.8412769308216466,True
test,forecast_horizon_hours,3.0,0.8,505,0.8594059405940594,0.8,0.05940594059405935,3.8711337976766687,True
test,forecast_horizon_hours,4.0,0.8,505,0.8752475247524752,0.8,0.0752475247524752,3.8975970707299066,True
test,forecast_horizon_hours,5.0,0.8,505,0.8633663366336634,0.8,0.06336633663366331,3.8987817141550587,True
test,forecast_horizon_hours,6.0,0.8,505,0.8475247524752475,0.8,0.047524752475247456,3.862837182065069,True
test,forecast_horizon_hours,7.0,0.8,505,0.8415841584158416,0.8,0.04158415841584151,3.8622379535103737,True
test,forecast_horizon_hours,8.0,0.8,504,0.8373015873015873,0.8,0.03730158730158728,3.8673911939894436,True
test,forecast_horizon_hours,9.0,0.8,505,0.8356435643564356,0.8,0.035643564356435564,3.8649555245630736,True
test,forecast_horizon_hours,10.0,0.8,505,0.8396039603960396,0.8,0.03960396039603953,3.8640741938494605,True
test,forecast_horizon_hours,11.0,0.8,505,0.8396039603960396,0.8,0.03960396039603953,3.8626833461782164,True
test,forecast_horizon_hours,12.0,0.8,505,0.8336633663366336,0.8,0.03366336633663358,3.862276632814076,True
test,forecast_horizon_hours,13.0,0.8,505,0.8336633663366336,0.8,0.03366336633663358,3.8641120994336307,True
test,forecast_horizon_hours,14.0,0.8,504,0.8353174603174603,0.8,0.0353174603174603,3.8666927957270145,True
test,forecast_horizon_hours,15.0,0.8,1,1.0,0.8,0.19999999999999996,3.8193006325007026,False
combined_out_of_sample,prediction_hour,0.0,0.8,5,1.0,0.8,0.19999999999999996,3.956952653063218,False
combined_out_of_sample,prediction_hour,1.0,0.8,869,0.8181818181818182,0.8,0.018181818181818188,3.87826681163752,True
combined_out_of_sample,prediction_hour,2.0,0.8,870,0.8172413793103448,0.8,0.01724137931034475,3.8749499916792747,True
combined_out_of_sample,prediction_hour,3.0,0.8,870,0.8172413793103448,0.8,0.01724137931034475,3.874524245092004,True
combined_out_of_sample,prediction_hour,4.0,0.8,870,0.8218390804597702,0.8,0.02183908045977012,3.8719663474114476,True
combined_out_of_sample,prediction_hour,5.0,0.8,870,0.8218390804597702,0.8,0.02183908045977012,3.8710053991099698,True
combined_out_of_sample,prediction_hour,6.0,0.8,870,0.8195402298850575,0.8,0.019540229885057436,3.8720738036335938,True
combined_out_of_sample,prediction_hour,7.0,0.8,869,0.8204833141542003,0.8,0.02048331415420024,3.87442189466949,True
combined_out_of_sample,prediction_hour,8.0,0.8,870,0.8206896551724138,0.8,0.020689655172413723,3.869873196824114,True
combined_out_of_sample,prediction_hour,9.0,0.8,870,0.8298850574712644,0.8,0.029885057471264354,3.8711296208157133,True
combined_out_of_sample,prediction_hour,10.0,0.8,870,0.8482758620689655,0.8,0.0482758620689655,3.897587535753808,True
combined_out_of_sample,prediction_hour,11.0,0.8,870,0.8655172413793103,0.8,0.06551724137931025,3.9071915096592784,True
combined_out_of_sample,prediction_hour,12.0,0.8,870,0.8620689655172413,0.8,0.06206896551724128,3.8860097029128657,True
combined_out_of_sample,prediction_hour,13.0,0.8,869,0.8745684695051784,0.8,0.07456846950517837,3.8559397958659183,True
combined_out_of_sample,prediction_hour,14.0,0.8,868,0.8905529953917051,0.8,0.09055299539170503,3.801403030563106,True
combined_out_of_sample,prediction_hour,15.0,0.8,869,0.904487917146145,0.8,0.10448791714614492,3.777943856570058,True
combined_out_of_sample,prediction_hour,16.0,0.8,868,0.913594470046083,0.8,0.11359447004608292,3.752551155549291,True
combined_out_of_sample,prediction_hour,17.0,0.8,869,0.9217491369390104,0.8,0.12174913693901035,3.7506546110047703,True
combined_out_of_sample,prediction_hour,18.0,0.8,870,0.9241379310344827,0.8,0.12413793103448267,3.7458243905236266,True
combined_out_of_sample,prediction_hour,19.0,0.8,870,0.9252873563218391,0.8,0.12528735632183907,3.747008627570273,True
combined_out_of_sample,prediction_hour,20.0,0.8,870,0.9252873563218391,0.8,0.12528735632183907,3.7469647936929187,True
combined_out_of_sample,prediction_hour,21.0,0.8,870,0.9275862068965517,0.8,0.12758620689655165,3.755582334748795,True
combined_out_of_sample,prediction_hour,22.0,0.8,870,0.9287356321839081,0.8,0.12873563218390804,3.762028318169756,True
combined_out_of_sample,prediction_hour,23.0,0.8,870,0.9344827586206896,0.8,0.1344827586206896,3.7694999532648663,True
combined_out_of_sample,season,0.0,0.8,5495,0.899909008189263,0.8,0.09990900818926296,3.8043419496796718,True
combined_out_of_sample,season,1.0,0.8,6096,0.8174212598425197,0.8,0.017421259842519632,3.8279718852664955,True
combined_out_of_sample,season,2.0,0.8,4230,0.8087470449172577,0.8,0.00874704491725764,3.9427884825722956,True
combined_out_of_sample,season,3.0,0.8,4185,0.9741935483870968,0.8,0.17419354838709677,3.7371320255237075,True
combined_out_of_sample,forecast_horizon_hours,-8.0,0.8,870,0.9344827586206896,0.8,0.1344827586206896,3.7694999532648663,True
