split,method,threshold,prob_bin,mean_predicted_probability,empirical_frequency,count,calibration_error,bin_lower,bin_upper
validation,raw_ngboost,0.0,0.1-0.2,0.1472257215844295,0.006756756756756757,148,-0.14046896482767274,0.1,0.2
validation,raw_ngboost,0.0,0.2-0.3,0.25374536698128425,0.09009009009009009,111,-0.16365527689119416,0.2,0.30000000000000004
validation,raw_ngboost,0.0,0.3-0.4,0.35473361278635784,0.43333333333333335,210,0.0785997205469755,0.30000000000000004,0.4
validation,raw_ngboost,0.0,0.4-0.5,0.45351295583187523,0.41042345276872966,614,-0.04308950306314557,0.4,0.5
validation,raw_ngboost,0.0,0.5-0.6,0.5494508510780124,0.5521390374331551,748,0.0026881863551426743,0.5,0.6000000000000001
validation,raw_ngboost,0.0,0.6-0.7,0.65477861882522,0.7528473804100227,878,0.09806876158480271,0.6000000000000001,0.7000000000000001
validation,raw_ngboost,0.0,0.7-0.8,0.7523062515018252,0.6765267175572519,1048,-0.07577953394457326,0.7000000000000001,0.8
validation,raw_ngboost,0.0,0.8-0.9,0.8509217635170152,0.832639467110741,1201,-0.018282296406274212,0.8,0.9
validation,raw_ngboost,0.0,0.9-1.0,0.9799290198177668,0.976890756302521,2856,-0.0030382635152458315,0.9,1.0
validation,raw_ngboost,1.0,0.0-0.1,0.015525770837667515,0.010482180293501049,477,-0.005043590544166466,0.0,0.1
validation,raw_ngboost,1.0,0.1-0.2,0.15486085714775216,0.17857142857142858,112,0.023710571423676413,0.1,0.2
validation,raw_ngboost,1.0,0.2-0.3,0.2480765784080786,0.2826086956521739,92,0.0345321172440953,0.2,0.30000000000000004
validation,raw_ngboost,1.0,0.3-0.4,0.3419735981775751,0.35714285714285715,70,0.01516925896528204,0.30000000000000004,0.4
validation,raw_ngboost,1.0,0.4-0.5,0.4580595908910077,0.36507936507936506,63,-0.09298022581164261,0.4,0.5
validation,raw_ngboost,1.0,0.5-0.6,0.5584542856439443,0.5481481481481482,135,-0.01030613749579612,0.5,0.6000000000000001
validation,raw_ngboost,1.0,0.6-0.7,0.6560575498082493,0.642369020501139,439,-0.013688529307110286,0.6000000000000001,0.7000000000000001
validation,raw_ngboost,1.0,0.7-0.8,0.7518124723940232,0.7666666666666667,840,0.014854194272643562,0.7000000000000001,0.8
validation,raw_ngboost,1.0,0.8-0.9,0.8558473873911518,0.8567119155354449,1326,0.000864528144293053,0.8,0.9
validation,raw_ngboost,1.0,0.9-1.0,0.9776505819777894,0.9630975143403442,5230,-0.014553067637445238,0.9,1.0
validation,raw_ngboost,2.0,0.0-0.1,0.011224954412799717,0.0,158,-0.011224954412799717,0.0,0.1
validation,raw_ngboost,2.0,0.1-0.2,0.15647847550608446,0.0,37,-0.15647847550608446,0.1,0.2
validation,raw_ngboost,2.0,0.2-0.3,0.2398772091720973,0.07547169811320754,53,-0.16440551105888973,0.2,0.30000000000000004
validation,raw_ngboost,2.0,0.3-0.4,0.352612709068096,0.15151515151515152,33,-0.20109755755294448,0.30000000000000004,0.4
validation,raw_ngboost,2.0,0.4-0.5,0.4445263530379544,0.6326530612244898,49,0.18812670818653543,0.4,0.5
validation,raw_ngboost,2.0,0.5-0.6,0.5534298465216698,0.6779661016949152,59,0.1245362551732454,0.5,0.6000000000000001
