row_id,split,date,timestamp,prediction_time,prediction_timestamp,location,forecast_high,actual_high,forecast_horizon_hours,forecast_error,mu,sigma,nll,distribution_type,skew,sigma_scale
31,validation,2024-01-02,2024-01-02 09:00:00,2024-01-02 09:00:00,2024-01-02 09:00:00,NYC,43.069978027343794,42.0,6.0,-1.0699780273,-1.994551820052503,3.228990054021465,1.840768192474017,skew_normal,1.527735640152412,1.0
32,validation,2024-01-02,2024-01-02 10:00:00,2024-01-02 10:00:00,2024-01-02 10:00:00,NYC,43.069978027343794,42.0,5.0,-1.0699780273,-1.963378531606652,3.1378156610457437,1.8130029030417414,skew_normal,1.527735640152412,1.0
33,validation,2024-01-02,2024-01-02 11:00:00,2024-01-02 11:00:00,2024-01-02 11:00:00,NYC,43.069978027343794,42.0,4.0,-1.0699780273,-1.9589249385969734,3.136290433165938,1.812028414164502,skew_normal,1.535450260895799,1.0
34,validation,2024-01-02,2024-01-02 12:00:00,2024-01-02 12:00:00,2024-01-02 12:00:00,NYC,43.069978027343794,42.0,3.0,-1.0699780273,-1.9810095343955538,3.0694324957388974,1.7890813331423563,skew_normal,1.499192924105073,1.0
35,validation,2024-01-02,2024-01-02 13:00:00,2024-01-02 13:00:00,2024-01-02 13:00:00,NYC,43.069978027343794,42.0,2.0,-1.0699780273,-2.0597179925878986,2.197141009988733,1.394024231027016,skew_normal,1.5400242453125208,1.0
36,validation,2024-01-02,2024-01-02 14:00:00,2024-01-02 14:00:00,2024-01-02 14:00:00,NYC,43.069978027343794,42.0,1.0,-1.0699780273,-1.6484409874676744,1.6968656842541576,1.1057572329505359,skew_normal,1.9414631725690472,1.0
37,validation,2024-01-02,2024-01-02 15:00:00,2024-01-02 15:00:00,2024-01-02 15:00:00,NYC,43.069978027343794,42.0,0.0,-1.0699780273,-0.907349723660867,1.2397708437044428,1.3777355508042521,skew_normal,2.026613839962343,1.0
38,validation,2024-01-02,2024-01-02 16:00:00,2024-01-02 16:00:00,2024-01-02 16:00:00,NYC,43.069978027343794,42.0,-1.0,-1.0699780273,-0.9887007724259192,1.1597792543977927,1.1894661545620222,skew_normal,2.026613839962343,1.0
39,validation,2024-01-02,2024-01-02 17:00:00,2024-01-02 17:00:00,2024-01-02 17:00:00,NYC,43.069978027343794,42.0,-2.0,-1.0699780273,-1.1134876536251341,1.0675725502735836,0.9214224747479095,skew_normal,2.0260474069215304,1.0
40,validation,2024-01-02,2024-01-02 18:00:00,2024-01-02 18:00:00,2024-01-02 18:00:00,NYC,43.069978027343794,42.0,-3.0,-1.0699780273,-1.1119511641417048,1.0675725502735836,0.9235429970932699,skew_normal,2.0260474069215304,1.0
41,validation,2024-01-02,2024-01-02 19:00:00,2024-01-02 19:00:00,2024-01-02 19:00:00,NYC,43.069978027343794,42.0,-4.0,-1.0699780273,-1.1119511641417048,1.0675725502735836,0.9235429970932699,skew_normal,2.0260474069215304,1.0
42,validation,2024-01-02,2024-01-02 20:00:00,2024-01-02 20:00:00,2024-01-02 20:00:00,NYC,43.069978027343794,42.0,-5.0,-1.0699780273,-1.1288627082580673,1.02614517673336,0.8578741339669992,skew_normal,2.0260474069215304,1.0
43,validation,2024-01-02,2024-01-02 21:00:00,2024-01-02 21:00:00,2024-01-02 21:00:00,NYC,43.069978027343794,42.0,-6.0,-1.0699780273,-1.1352018131763828,0.9514523533080014,0.7667612608463178,skew_normal,2.025736838267342,1.0
44,validation,2024-01-02,2024-01-02 22:00:00,2024-01-02 22:00:00,2024-01-02 22:00:00,NYC,43.069978027343794,42.0,-7.0,-1.0699780273,-1.1389067493175726,0.8883500931806906,0.6858674706160189,skew_normal,2.025736838267342,1.0
45,validation,2024-01-02,2024-01-02 23:00:00,2024-01-02 23:00:00,2024-01-02 23:00:00,NYC,43.069978027343794,42.0,-8.0,-1.0699780273,-1.1352018131763828,0.8629496629620016,0.6595608484908878,skew_normal,2.025736838267342,1.0
46,validation,2024-01-03,2024-01-03 01:00:00,2024-01-03 01:00:00,2024-01-03 01:00:00,NYC,45.94998901367192,43.0,14.0,-2.9499890137,-1.990442368806241,3.7548638174448183,2.641902626664753,skew_normal,1.5468304475385333,1.0
47,validation,2024-01-03,2024-01-03 02:00:00,2024-01-03 02:00:00,2024-01-03 02:00:00,NYC,45.94998901367192,43.0,13.0,-2.9499890137,-1.9927021935224971,3.7245974384755436,2.6366102493487302,skew_normal,1.5468304475385333,1.0
48,validation,2024-01-03,2024-01-03 03:00:00,2024-01-03 03:00:00,2024-01-03 03:00:00,NYC,45.94998901367192,43.0,12.0,-2.9499890137,-1.9948959618159186,3.6737416742105427,2.6279830294240387,skew_normal,1.5448942459123607,1.0
49,validation,2024-01-03,2024-01-03 04:00:00,2024-01-03 04:00:00,2024-01-03 04:00:00,NYC,45.94998901367192,43.0,11.0,-2.9499890137,-1.9948959618159186,3.6395063073443494,2.623306520801278,skew_normal,1.5448942459123607,1.0
50,validation,2024-01-03,2024-01-03 05:00:00,2024-01-03 05:00:00,2024-01-03 05:00:00,NYC,45.94998901367192,43.0,10.0,-2.9499890137,-2.008983117576086,3.705390831816996,2.6250899352460118,skew_normal,1.5448942459123607,1.0
51,validation,2024-01-03,2024-01-03 06:00:00,2024-01-03 06:00:00,2024-01-03 06:00:00,NYC,45.94998901367192,43.0,9.0,-2.9499890137,-2.016621068472744,3.7282313502619875,2.6244163357420556,skew_normal,1.5448942459123607,1.0
52,validation,2024-01-03,2024-01-03 07:00:00,2024-01-03 07:00:00,2024-01-03 07:00:00,NYC,45.94998901367192,43.0,8.0,-2.9499890137,-2.0183460947591034,3.6653580474066714,2.6146430933660882,skew_normal,1.5448942459123607,1.0
53,validation,2024-01-03,2024-01-03 08:00:00,2024-01-03 08:00:00,2024-01-03 08:00:00,NYC,45.04998901367192,43.0,7.0,-2.0499890137,-1.9954625475906944,3.6731546689691847,2.238588932374153,skew_normal,1.5468304475385333,1.0
54,validation,2024-01-03,2024-01-03 09:00:00,2024-01-03 09:00:00,2024-01-03 09:00:00,NYC,45.04998901367192,43.0,6.0,-2.0499890137,-1.9932027228744391,3.706439763002748,2.248215974011859,skew_normal,1.5468304475385333,1.0
55,validation,2024-01-03,2024-01-03 10:00:00,2024-01-03 10:00:00,2024-01-03 10:00:00,NYC,45.04998901367192,43.0,5.0,-2.0499890137,-1.9953903141060674,3.5978770479296647,2.218302679202812,skew_normal,1.5468304475385333,1.0
56,validation,2024-01-03,2024-01-03 11:00:00,2024-01-03 11:00:00,2024-01-03 11:00:00,NYC,45.04998901367192,43.0,4.0,-2.0499890137,-1.957925765809719,3.642254955678234,2.2435457074293548,skew_normal,1.5468304475385333,1.0
57,validation,2024-01-03,2024-01-03 12:00:00,2024-01-03 12:00:00,2024-01-03 12:00:00,NYC,45.04998901367192,43.0,3.0,-2.0499890137,-1.9426818730211357,2.8390362227245363,2.017824404465772,skew_normal,1.7666149322618663,1.0
58,validation,2024-01-03,2024-01-03 13:00:00,2024-01-03 13:00:00,2024-01-03 13:00:00,NYC,45.04998901367192,43.0,2.0,-2.0499890137,-1.6214362451009137,2.3379633484821447,2.11140766943403,skew_normal,1.944456668284784,1.0
59,validation,2024-01-03,2024-01-03 14:00:00,2024-01-03 14:00:00,2024-01-03 14:00:00,NYC,45.04998901367192,43.0,1.0,-2.0499890137,-1.79587900706478,1.7779142751260864,1.7513538753203346,skew_normal,1.942188963302407,1.0
60,validation,2024-01-03,2024-01-03 15:00:00,2024-01-03 15:00:00,2024-01-03 15:00:00,NYC,45.04998901367192,43.0,0.0,-2.0499890137,-1.9839340105532188,1.1162492499582954,1.1265529314805685,skew_normal,1.9408136954448714,1.0
61,validation,2024-01-03,2024-01-03 16:00:00,2024-01-03 16:00:00,2024-01-03 16:00:00,NYC,45.04998901367192,43.0,-1.0,-2.0499890137,-2.0290325934038003,1.0791837342468809,1.0257996505617388,skew_normal,1.9372247566843033,1.0
62,validation,2024-01-03,2024-01-03 17:00:00,2024-01-03 17:00:00,2024-01-03 17:00:00,NYC,45.04998901367192,43.0,-2.0,-2.0499890137,-2.0266766820625186,1.023172816604676,0.977947097599259,skew_normal,1.9372247566843033,1.0
63,validation,2024-01-03,2024-01-03 18:00:00,2024-01-03 18:00:00,2024-01-03 18:00:00,NYC,45.04998901367192,43.0,-3.0,-2.0499890137,-2.0249516557761593,1.092845732162804,1.0440161208956082,skew_normal,1.9365904108572645,1.0
64,validation,2024-01-03,2024-01-03 19:00:00,2024-01-03 19:00:00,2024-01-03 19:00:00,NYC,45.04998901367192,43.0,-4.0,-2.0499890137,-2.032631605561166,0.9958412103875548,0.942219285547502,skew_normal,1.9365904108572645,1.0
65,validation,2024-01-03,2024-01-03 20:00:00,2024-01-03 20:00:00,2024-01-03 20:00:00,NYC,45.04998901367192,43.0,-5.0,-2.0499890137,-2.032631605561166,1.0611541431388734,1.004024590492968,skew_normal,1.9365904108572645,1.0
