run_name,removed_group,bucket,brier_score,mean_predicted_probability,empirical_frequency,calibration_gap,count
remove_cloud_precipitation,cloud_precipitation,market_bucket_4,0.03163855047412417,0.03820510183768975,0.04644808743169399,-0.008242985594004243,8784
remove_cloud_precipitation,cloud_precipitation,market_bucket_5,0.009949620957448236,0.007022215925968515,0.01639344262295082,-0.009371226696982305,8784
remove_wind,wind,market_bucket_0,0.048733160358358035,0.0776823771606229,0.08196721311475409,-0.0042848359541311914,8784
remove_wind,wind,market_bucket_1,0.13550902008898658,0.28414491590122903,0.26229508196721313,0.021849833934015905,8784
remove_wind,wind,market_bucket_2,0.16029967763875275,0.4146199692650588,0.41530054644808745,-0.0006805771830286633,8784
remove_wind,wind,market_bucket_3,0.08980914782253238,0.178472306696516,0.17759562841530055,0.0008766782812154594,8784
remove_wind,wind,market_bucket_4,0.03166146543517467,0.037935616845410775,0.04644808743169399,-0.008512470586283218,8784
remove_wind,wind,market_bucket_5,0.009877956128237813,0.007144814131162403,0.01639344262295082,-0.009248628491788417,8784
remove_recent_temperature_changes,recent_temperature_changes,market_bucket_0,0.04865520559376094,0.07817733282210042,0.08196721311475409,-0.0037898802926536745,8784
remove_recent_temperature_changes,recent_temperature_changes,market_bucket_1,0.13533751306849748,0.2843700454294039,0.26229508196721313,0.02207496346219079,8784
remove_recent_temperature_changes,recent_temperature_changes,market_bucket_2,0.15973616075118013,0.4129899573103334,0.41530054644808745,-0.00231058913775406,8784
remove_recent_temperature_changes,recent_temperature_changes,market_bucket_3,0.0895193028985872,0.1789824935837534,0.17759562841530055,0.00138686516845285,8784
remove_recent_temperature_changes,recent_temperature_changes,market_bucket_4,0.03164780305253327,0.038207592182416344,0.04644808743169399,-0.008240495249277648,8784
remove_recent_temperature_changes,recent_temperature_changes,market_bucket_5,0.009854807639593737,0.0072725786719924764,0.01639344262295082,-0.009120863950958343,8784
minimal_feature_set,minimal_feature_set,market_bucket_0,0.057791813414118896,0.07721621197758251,0.08196721311475409,-0.004751001137171584,8784
minimal_feature_set,minimal_feature_set,market_bucket_1,0.14439598205223117,0.2891890472836875,0.26229508196721313,0.026893965316474366,8784
minimal_feature_set,minimal_feature_set,market_bucket_2,0.17304464127609756,0.4104697800989374,0.41530054644808745,-0.0048307663491500286,8784
minimal_feature_set,minimal_feature_set,market_bucket_3,0.09672340155272001,0.17914932157355462,0.17759562841530055,0.0015536931582540714,8784
minimal_feature_set,minimal_feature_set,market_bucket_4,0.032613434087788634,0.037363693860437495,0.04644808743169399,-0.009084393571256497,8784
minimal_feature_set,minimal_feature_set,market_bucket_5,0.010393955436466876,0.006611945205800482,0.01639344262295082,-0.009781497417150339,8784
