split,group_col,group_value,nominal_coverage,empirical_coverage,coverage_gap,n_rows,mean_predicted_sigma,mean_abs_residual,enough_sample
validation,prediction_hour,12,0.8,0.9016393442622951,0.10163934426229504,366,1.654865553637032,1.137904435303574,True
validation,prediction_hour,12,0.9,0.9644808743169399,0.06448087431693983,366,1.654865553637032,1.137904435303574,True
validation,prediction_hour,13,0.5,0.6229508196721312,0.12295081967213117,366,1.3814567676861067,0.8953671320768687,True
validation,prediction_hour,13,0.8,0.912568306010929,0.11256830601092893,366,1.3814567676861067,0.8953671320768687,True
validation,prediction_hour,13,0.9,0.9808743169398907,0.08087431693989067,366,1.3814567676861067,0.8953671320768687,True
validation,prediction_hour,14,0.5,0.680327868852459,0.180327868852459,366,1.0467748051829118,0.6357195048334545,True
validation,prediction_hour,14,0.8,0.9180327868852459,0.11803278688524588,366,1.0467748051829118,0.6357195048334545,True
validation,prediction_hour,14,0.9,0.9808743169398907,0.08087431693989067,366,1.0467748051829118,0.6357195048334545,True
validation,prediction_hour,15,0.5,0.773224043715847,0.27322404371584696,366,0.6670728921452795,0.37405950461190146,True
validation,prediction_hour,15,0.8,0.9344262295081968,0.13442622950819672,366,0.6670728921452795,0.37405950461190146,True
validation,prediction_hour,15,0.9,0.9754098360655737,0.07540983606557372,366,0.6670728921452795,0.37405950461190146,True
validation,prediction_hour,16,0.5,0.7978142076502732,0.2978142076502732,366,0.35567398219154395,0.2480713400184946,True
validation,prediction_hour,16,0.8,0.9289617486338798,0.12896174863387977,366,0.35567398219154395,0.2480713400184946,True
validation,prediction_hour,16,0.9,0.9590163934426229,0.05901639344262288,366,0.35567398219154395,0.2480713400184946,True
validation,prediction_hour,17,0.5,0.7950819672131147,0.29508196721311475,366,0.3115787274661408,0.21053369255506438,True
validation,prediction_hour,17,0.8,0.9562841530054644,0.1562841530054644,366,0.3115787274661408,0.21053369255506438,True
validation,prediction_hour,17,0.9,0.9808743169398907,0.08087431693989067,366,0.3115787274661408,0.21053369255506438,True
validation,prediction_hour,18,0.5,0.7923497267759563,0.2923497267759563,366,0.2956406401454135,0.20604484315164087,True
validation,prediction_hour,18,0.8,0.9562841530054644,0.1562841530054644,366,0.2956406401454135,0.20604484315164087,True
validation,prediction_hour,18,0.9,0.9863387978142076,0.08633879781420761,366,0.2956406401454135,0.20604484315164087,True
validation,prediction_hour,19,0.5,0.7814207650273224,0.2814207650273224,366,0.288746567349307,0.20532467591811104,True
validation,prediction_hour,19,0.8,0.9590163934426229,0.15901639344262286,366,0.288746567349307,0.20532467591811104,True
validation,prediction_hour,19,0.9,0.9890710382513661,0.08907103825136609,366,0.288746567349307,0.20532467591811104,True
validation,prediction_hour,20,0.5,0.7868852459016393,0.28688524590163933,366,0.28486737353655844,0.20181635292155373,True
validation,prediction_hour,20,0.8,0.9617486338797814,0.16174863387978133,366,0.28486737353655844,0.20181635292155373,True
