split,method,bucket,prob_bin,mean_predicted_probability,empirical_frequency,count,calibration_error,bin_lower,bin_upper
validation,raw_ngboost,market_bucket_5,0.3-0.4,0.33567134754384886,0.926829268292683,41,0.5911579207488341,0.30000000000000004,0.4
validation,raw_ngboost,market_bucket_5,0.4-0.5,0.4246090577152129,1.0,7,0.5753909422847872,0.4,0.5
validation,raw_ngboost,market_bucket_5,0.5-0.6,,,0,,0.5,0.6000000000000001
validation,raw_ngboost,market_bucket_5,0.6-0.7,,,0,,0.6000000000000001,0.7000000000000001
validation,raw_ngboost,market_bucket_5,0.7-0.8,,,0,,0.7000000000000001,0.8
validation,raw_ngboost,market_bucket_5,0.8-0.9,,,0,,0.8,0.9
validation,raw_ngboost,market_bucket_5,0.9-1.0,,,0,,0.9,1.0
test,raw_ngboost,market_bucket_0,0.0-0.1,0.02859326966408146,0.010418286425128286,6431,-0.018174983238953175,0.0,0.1
test,raw_ngboost,market_bucket_0,0.1-0.2,0.13811648787649417,0.17381907996295154,3239,0.035702592086457374,0.1,0.2
test,raw_ngboost,market_bucket_0,0.2-0.3,0.24260481535212072,0.32139737991266376,1145,0.07879256456054304,0.2,0.30000000000000004
test,raw_ngboost,market_bucket_0,0.3-0.4,0.35068163675983843,0.5955284552845529,492,0.24484681852471446,0.30000000000000004,0.4
test,raw_ngboost,market_bucket_0,0.4-0.5,0.44423125670156727,0.7867867867867868,333,0.34255553008521955,0.4,0.5
test,raw_ngboost,market_bucket_0,0.5-0.6,0.5403591222313524,0.9690721649484536,291,0.4287130427171012,0.5,0.6000000000000001
test,raw_ngboost,market_bucket_0,0.6-0.7,0.6296518725032287,0.9416058394160584,137,0.3119539669128296,0.6000000000000001,0.7000000000000001
test,raw_ngboost,market_bucket_0,0.7-0.8,0.7394839196096281,1.0,52,0.2605160803903719,0.7000000000000001,0.8
test,raw_ngboost,market_bucket_0,0.8-0.9,,,0,,0.8,0.9
test,raw_ngboost,market_bucket_0,0.9-1.0,,,0,,0.9,1.0
test,raw_ngboost,market_bucket_1,0.0-0.1,0.016839377306416183,0.0025371511417180137,2759,-0.01430222616469817,0.0,0.1
test,raw_ngboost,market_bucket_1,0.1-0.2,0.16647032707340964,0.2022749752720079,2022,0.03580464819859827,0.1,0.2
test,raw_ngboost,market_bucket_1,0.2-0.3,0.24436602289159387,0.2579410639112132,2613,0.013575041019619316,0.2,0.30000000000000004
