contract_multiplier,eligible,cagr,sharpe,sortino,calmar,max_drawdown_fraction,net_pnl,profit_factor,executed_signals,rejected_for_cash,max_concurrent_cash_committed,fold_pnl
48,True,0.9953742540889057,6.293187996138066,16.246864893126332,40.80110670560275,-0.028598992050270944,1055.7399999999998,2.963655977977829,172,0,214.79,"{'trading_outer_00': 612.9300000000001, 'trading_outer_01': 302.99999999999994, 'trading_outer_02': 139.81}"
49,True,1.01567314314944,6.29250610595453,16.243597755706496,41.193797119233686,-0.028911813226971783,1077.56,2.9628044226670793,172,0,219.3,"{'trading_outer_00': 625.57, 'trading_outer_01': 309.31000000000006, 'trading_outer_02': 142.67999999999998}"
50,True,1.0362142305795574,6.292965376669585,16.246495424676414,41.60850240894269,-0.02921043924228639,1099.65,2.9633451766680348,172,0,223.78,"{'trading_outer_00': 638.39, 'trading_outer_01': 315.65999999999997, 'trading_outer_02': 145.60000000000002}"
51,True,1.0567835529460505,6.293475005119877,16.24907032531088,42.0246978514405,-0.029503177147070403,1121.7799999999997,2.963866178813396,172,0,228.23,"{'trading_outer_00': 651.2199999999999, 'trading_outer_01': 322.02, 'trading_outer_02': 148.54}"
52,True,1.0770374738263322,6.29247408004076,16.2430003818757,42.38802569753185,-0.029818724069020752,1143.58,2.962991571828278,172,0,232.69,"{'trading_outer_00': 663.96, 'trading_outer_01': 328.21, 'trading_outer_02': 151.41000000000003}"
53,True,1.0973664417665692,6.292229062090575,16.242076272811765,42.79194363940638,-0.03010265351549357,1165.4699999999998,2.9625993533611745,172,0,237.2,"{'trading_outer_00': 676.6600000000001, 'trading_outer_01': 334.52, 'trading_outer_02': 154.29}"
54,True,1.117965343430917,6.293025813440394,16.246830040614864,43.20392817479484,-0.030383275261324005,1187.66,2.963398908910564,172,0,241.67000000000002,"{'trading_outer_00': 689.51, 'trading_outer_01': 340.89, 'trading_outer_02': 157.25999999999996}"
55,True,1.1382494588153165,6.292555368614521,16.243790120514262,43.606378947368576,-0.03065693430656924,1209.52,2.9629647662171155,172,0,246.15,"{'trading_outer_00': 702.21, 'trading_outer_01': 347.18000000000006, 'trading_outer_02': 160.13}"
56,True,1.1586458302177531,6.292372152459492,16.243274973870513,44.00841452952574,-0.03092914494035548,1231.5099999999998,2.962878546381893,172,0,250.63,"{'trading_outer_00': 714.9699999999999, 'trading_outer_01': 353.4999999999999, 'trading_outer_02': 163.04000000000005}"
57,True,1.179219282896419,6.293335720739776,16.247831966850264,44.42701220797681,-0.031189772892353917,1253.6999999999998,2.963631237665633,172,0,255.11,"{'trading_outer_00': 727.83, 'trading_outer_01': 359.86000000000007, 'trading_outer_02': 166.01000000000002}"
58,True,1.1997009666278928,6.293753766771545,16.2501081326667,44.84006582601797,-0.03144720487952346,1275.8,2.9642499730566128,172,0,259.54,"{'trading_outer_00': 740.64, 'trading_outer_01': 366.19000000000005, 'trading_outer_02': 168.96999999999997}"
59,True,1.2197761514849157,6.292288457480645,16.24309342569482,45.20039228635682,-0.031726401407948246,1297.4699999999998,2.9627410937145444,172,0,264.03000000000003,"{'trading_outer_00': 753.31, 'trading_outer_01': 372.40000000000003, 'trading_outer_02': 171.75999999999996}"
60,True,1.2402879191601688,6.292849386988584,16.246335337664693,45.617153163172105,-0.03197322207293196,1319.62,2.963106767230479,172,0,268.52,"{'trading_outer_00': 766.1300000000001, 'trading_outer_01': 378.78999999999996, 'trading_outer_02': 174.70000000000002}"
