fetched_at,ticker,outcome_side,quote_type,price_dollars,size_contracts,level,cumulative_size,source_book_side
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,NO,bid,0.87,100.0,11,7388.700000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,NO,bid,0.85,43.0,12,7431.700000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,NO,bid,0.82,3.0,13,7434.700000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,NO,bid,0.75,21.0,14,7455.700000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,NO,bid,0.73,18.73,15,7474.43,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,NO,bid,0.7,1.0,16,7475.43,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,NO,bid,0.54,5.0,17,7480.43,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,NO,bid,0.51,3.0,18,7483.43,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,NO,bid,0.5,110.0,19,7593.43,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,NO,bid,0.45,10.0,20,7603.43,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,YES,ask,0.01,6547.43,1,6547.43,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,YES,ask,0.02,253.0,2,6800.43,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,YES,ask,0.03,268.0,3,7068.43,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,YES,ask,0.04,40.27,4,7108.700000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,YES,ask,0.05,108.0,5,7216.700000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,YES,ask,0.06,22.0,6,7238.700000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,YES,ask,0.07,32.0,7,7270.700000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,YES,ask,0.08,5.0,8,7275.700000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,YES,ask,0.09,3.0,9,7278.700000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,YES,ask,0.1,10.0,10,7288.700000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,YES,ask,0.13,100.0,11,7388.700000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,YES,ask,0.15,43.0,12,7431.700000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,YES,ask,0.18,3.0,13,7434.700000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,YES,ask,0.25,21.0,14,7455.700000000001,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,YES,ask,0.27,18.73,15,7474.43,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,YES,ask,0.3,1.0,16,7475.43,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,YES,ask,0.46,5.0,17,7480.43,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,YES,ask,0.49,3.0,18,7483.43,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,YES,ask,0.5,110.0,19,7593.43,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B85.5,YES,ask,0.55,10.0,20,7603.43,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,NO,bid,0.99,16086.14,1,16086.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,NO,bid,0.98,2503.0,2,18589.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,NO,bid,0.97,2718.0,3,21307.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,NO,bid,0.96,341.0,4,21648.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,NO,bid,0.95,37.0,5,21685.14,no_dollars
