selection_for_fold,candidate_id,eligible,prior_cagr,prior_max_drawdown_fraction,prior_net_pnl,prior_n_trades,prior_fold_pnl,complexity
trading_outer_01,edge_0.03_after_16_buy_no_2,False,0.0,0.0,0.0,0,[0.0],4
trading_outer_01,edge_0.03_after_16_buy_no_unlimited,False,0.0,0.0,0.0,0,[0.0],3
trading_outer_01,edge_0.03_after_12_both_1,False,0.0048971539491886595,-0.00018981208603485733,2.3299999999999996,10,[2.3299999999999996],3
trading_outer_01,edge_0.03_after_12_both_2,False,0.004644634044023599,-0.00021980217803974078,2.2099999999999995,12,[2.2099999999999995],3
trading_outer_01,edge_0.03_after_12_both_unlimited,False,0.004644634044023599,-0.00021980217803974078,2.2099999999999995,12,[2.2099999999999995],2
trading_outer_01,edge_0.03_after_12_buy_yes_1,False,0.0048971539491886595,-0.00018981208603485733,2.3299999999999996,10,[2.3299999999999996],4
trading_outer_01,edge_0.03_after_12_buy_yes_2,False,0.004644634044023599,-0.00021980217803974078,2.2099999999999995,12,[2.2099999999999995],4
trading_outer_01,edge_0.03_after_12_buy_yes_unlimited,False,0.004644634044023599,-0.00021980217803974078,2.2099999999999995,12,[2.2099999999999995],3
trading_outer_01,edge_0.03_after_12_buy_no_1,False,0.0,0.0,0.0,0,[0.0],4
trading_outer_01,edge_0.03_after_12_buy_no_2,False,0.0,0.0,0.0,0,[0.0],4
trading_outer_01,edge_0.03_after_12_buy_no_unlimited,False,0.0,0.0,0.0,0,[0.0],3
trading_outer_01,edge_0.05_all_both_1,True,0.017968048262765768,-0.0006599999999999939,8.52,25,[8.52],2
trading_outer_01,edge_0.05_all_both_2,True,0.017523159653987097,-0.0006599999999999939,8.309999999999999,43,[8.309999999999999],2
trading_outer_01,edge_0.05_all_both_unlimited,True,0.01758670893518577,-0.0006599999999999939,8.339999999999998,50,[8.339999999999998],1
trading_outer_01,edge_0.05_all_buy_yes_1,True,0.017968048262765768,-0.0006599999999999939,8.52,25,[8.52],3
trading_outer_01,edge_0.05_all_buy_yes_2,True,0.017523159653987097,-0.0006599999999999939,8.309999999999999,43,[8.309999999999999],3
trading_outer_01,edge_0.05_all_buy_yes_unlimited,True,0.01758670893518577,-0.0006599999999999939,8.339999999999998,50,[8.339999999999998],2
trading_outer_01,edge_0.05_all_buy_no_1,False,0.0,0.0,0.0,0,[0.0],3
trading_outer_01,edge_0.05_all_buy_no_2,False,0.0,0.0,0.0,0,[0.0],3
trading_outer_01,edge_0.05_all_buy_no_unlimited,False,0.0,0.0,0.0,0,[0.0],2
trading_outer_01,edge_0.05_before_12_both_1,False,0.014094584283001144,-0.0006599999999999939,6.6899999999999995,19,[6.6899999999999995],3
trading_outer_01,edge_0.05_before_12_both_2,True,0.013840856769744558,-0.0006599999999999939,6.569999999999999,35,[6.569999999999999],3
trading_outer_01,edge_0.05_before_12_both_unlimited,True,0.014179167508347357,-0.0006599999999999939,6.729999999999999,40,[6.729999999999999],2
