run_id,feature_set,feature_count,distribution,hyperparams_name,sigma_factor,split,nll,bucket_log_loss,bucket_brier,mean_sigma,median_sigma,nll_rank,brier_rank,log_loss_rank,rank_sum
current36__normal__mid_300_lr002_depth3_leaf50_sub08_direct,current36,36,normal,mid_300_lr002_depth3_leaf50_sub08_direct,0.65,validation,2.462085717471503,1.3620164709461364,0.136957117037093,1.0851851237334769,1.0964417062064933,330.0,303.0,313.0,946.0
current36__normal__mid_300_lr002_depth3_leaf50_sub08_direct,current36,36,normal,mid_300_lr002_depth3_leaf50_sub08_direct,0.65,test,2.2444468348460154,1.3229949437592363,0.1272724217702047,1.1499285060345272,1.1294454138222192,330.0,303.0,313.0,946.0
current36__normal__mid_300_lr002_depth3_leaf50_sub08_direct,current36,36,normal,mid_300_lr002_depth3_leaf50_sub08_direct,0.7,validation,2.3111779037684963,1.3049449144628167,0.13423873795043492,1.1686609024822057,1.180783375914685,313.0,282.0,291.0,886.0
current36__normal__mid_300_lr002_depth3_leaf50_sub08_direct,current36,36,normal,mid_300_lr002_depth3_leaf50_sub08_direct,0.7,test,2.128364910417271,1.26965650660248,0.12533174230723257,1.2383845449602597,1.2163258302700821,313.0,282.0,291.0,886.0
current36__normal__mid_300_lr002_depth3_leaf50_sub08_direct,current36,36,normal,mid_300_lr002_depth3_leaf50_sub08_direct,0.75,validation,2.1986395215132535,1.2616280946059995,0.13200293902358196,1.2521366812309347,1.2651250456228769,294.0,265.0,271.0,830.0
current36__normal__mid_300_lr002_depth3_leaf50_sub08_direct,current36,36,normal,mid_300_lr002_depth3_leaf50_sub08_direct,0.75,test,2.0439222785049354,1.2297316184047569,0.12380292916069584,1.3268405838859927,1.303206246717945,294.0,265.0,271.0,830.0
current36__normal__mid_300_lr002_depth3_leaf50_sub08_direct,current36,36,normal,mid_300_lr002_depth3_leaf50_sub08_direct,0.8,validation,2.1146080133219494,1.2289154045134152,0.13017495100669704,1.335612459979664,1.3494667153310687,272.0,247.0,249.0,768.0
current36__normal__mid_300_lr002_depth3_leaf50_sub08_direct,current36,36,normal,mid_300_lr002_depth3_leaf50_sub08_direct,0.8,test,1.982885083228974,1.2000803924117454,0.12261785953972386,1.4152966228117256,1.3900866631658082,272.0,247.0,249.0,768.0
current36__normal__mid_300_lr002_depth3_leaf50_sub08_direct,current36,36,normal,mid_300_lr002_depth3_leaf50_sub08_direct,0.85,validation,2.052101429895958,1.2044608298175665,0.12869554680639425,1.4190882387283927,1.4338083850392604,254.0,230.0,230.0,714.0
current36__normal__mid_300_lr002_depth3_leaf50_sub08_direct,current36,36,normal,mid_300_lr002_depth3_leaf50_sub08_direct,0.85,test,1.9394356237449868,1.178399180380798,0.12172393216140928,1.5037526617374588,1.4769670796136711,254.0,230.0,230.0,714.0
current36__normal__mid_300_lr002_depth3_leaf50_sub08_direct,current36,36,normal,mid_300_lr002_depth3_leaf50_sub08_direct,0.9,validation,2.006074696058003,1.1865213144559594,0.12751694938078495,1.5025640174771218,1.5181500547474522,233.0,212.0,203.0,648.0
current36__normal__mid_300_lr002_depth3_leaf50_sub08_direct,current36,36,normal,mid_300_lr002_depth3_leaf50_sub08_direct,0.9,test,1.9093789451371443,1.16298077909447,0.12107966518957844,1.5922087006631913,1.5638474960615343,233.0,212.0,203.0,648.0
current36__normal__mid_300_lr002_depth3_leaf50_sub08_direct,current36,36,normal,mid_300_lr002_depth3_leaf50_sub08_direct,0.95,validation,1.9728163309317754,1.1737790908937673,0.1265998758396069,1.5860397962258506,1.602491724455644,199.0,194.0,159.0,552.0
current36__normal__mid_300_lr002_depth3_leaf50_sub08_direct,current36,36,normal,mid_300_lr002_depth3_leaf50_sub08_direct,0.95,test,1.8896360371201841,1.1525381055351518,0.12065157902154564,1.6806647395889238,1.6507279125093972,199.0,194.0,159.0,552.0
current36__normal__mid_300_lr002_depth3_leaf50_sub08_direct,current36,36,normal,mid_300_lr002_depth3_leaf50_sub08_direct,1.0,validation,1.9495524557445816,1.1652226808150565,0.1259114503376123,1.6695155749745798,1.6868333941638358,149.0,165.0,138.0,452.0
current36__normal__mid_300_lr002_depth3_leaf50_sub08_direct,current36,36,normal,mid_300_lr002_depth3_leaf50_sub08_direct,1.0,test,1.877911440043308,1.1460861416027526,0.12041203110535008,1.7691207785146572,1.7376083289572604,149.0,165.0,138.0,452.0
current36__normal__mid_300_lr002_depth3_leaf50_sub08_direct,current36,36,normal,mid_300_lr002_depth3_leaf50_sub08_direct,1.05,validation,1.9341807112637555,1.1600652583878637,0.12542373769418105,1.7529913537233086,1.7711750638720276,109.0,147.0,125.0,381.0
current36__normal__mid_300_lr002_depth3_leaf50_sub08_direct,current36,36,normal,mid_300_lr002_depth3_leaf50_sub08_direct,1.05,test,1.8724700900802334,1.1428609749835923,0.12033772336750878,1.85757681744039,1.8244887454051235,109.0,147.0,125.0,381.0
current36__normal__mid_300_lr002_depth3_leaf50_sub08_direct,current36,36,normal,mid_300_lr002_depth3_leaf50_sub08_direct,1.1,validation,1.9250877038798793,1.1576874524311414,0.12511270485709025,1.8364671324720376,1.8555167335802194,88.0,138.0,120.0,346.0
current36__normal__mid_300_lr002_depth3_leaf50_sub08_direct,current36,36,normal,mid_300_lr002_depth3_leaf50_sub08_direct,1.1,test,1.8719843587347234,1.1422631101503726,0.12040867254004817,1.9460328563661229,1.9113691618529864,88.0,138.0,120.0,346.0
