split,model,bucket_schema,bucket,bin_lower,bin_upper,count,mean_predicted_probability,empirical_frequency,calibration_gap
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_2,0.4,0.5,13235,0.4616489270252345,0.49958443520967133,-0.037935508184436806
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_2,0.5,0.6000000000000001,3859,0.5234278582075429,0.7766260689297746,-0.2531982107222317
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_2,0.6000000000000001,0.7000000000000001,0,,,
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_2,0.7000000000000001,0.8,0,,,
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_2,0.8,0.9,0,,,
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_2,0.9,1.0,0,,,
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_5,0.0,0.1,19940,0.003013416162402147,0.014393179538615847,-0.0113797633762137
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_5,0.1,0.2,66,0.11568085892652663,0.5303030303030303,-0.41462217137650365
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_5,0.2,0.30000000000000004,0,,,
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_5,0.30000000000000004,0.4,0,,,
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_5,0.4,0.5,0,,,
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_5,0.5,0.6000000000000001,0,,,
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_5,0.6000000000000001,0.7000000000000001,0,,,
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_5,0.7000000000000001,0.8,0,,,
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_5,0.8,0.9,0,,,
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_5,0.9,1.0,0,,,
test,ngboost_normal_v0,day9_forecast_error_intervals,"(-inf, -3]",0.0,0.1,11166,0.021120299310893063,0.029106215296435606,-0.007985915985542543
test,ngboost_normal_v0,day9_forecast_error_intervals,"(-inf, -3]",0.1,0.2,343,0.13196135180793087,0.4518950437317784,-0.3199336919238476
test,ngboost_normal_v0,day9_forecast_error_intervals,"(-inf, -3]",0.2,0.30000000000000004,30,0.2264059817281962,0.9333333333333333,-0.7069273516051371
test,ngboost_normal_v0,day9_forecast_error_intervals,"(-inf, -3]",0.30000000000000004,0.4,29,0.3449400357162257,0.9310344827586207,-0.586094447042395
test,ngboost_normal_v0,day9_forecast_error_intervals,"(-inf, -3]",0.4,0.5,42,0.42736755294200346,0.9523809523809523,-0.5250133994389489
test,ngboost_normal_v0,day9_forecast_error_intervals,"(-inf, -3]",0.5,0.6000000000000001,0,,,
test,ngboost_normal_v0,day9_forecast_error_intervals,"(-inf, -3]",0.6000000000000001,0.7000000000000001,0,,,
test,ngboost_normal_v0,day9_forecast_error_intervals,"(-inf, -3]",0.7000000000000001,0.8,0,,,
test,ngboost_normal_v0,day9_forecast_error_intervals,"(-inf, -3]",0.8,0.9,0,,,
test,ngboost_normal_v0,day9_forecast_error_intervals,"(-inf, -3]",0.9,1.0,0,,,
test,ngboost_normal_v0,day9_forecast_error_intervals,"(-3, -1]",0.0,0.1,127,0.08748779335470219,0.0,0.08748779335470219
test,ngboost_normal_v0,day9_forecast_error_intervals,"(-3, -1]",0.1,0.2,5260,0.16236812576034304,0.08574144486692015,0.0766266808934229
test,ngboost_normal_v0,day9_forecast_error_intervals,"(-3, -1]",0.2,0.30000000000000004,4475,0.24687377558871942,0.3564245810055866,-0.10955080541686718
test,ngboost_normal_v0,day9_forecast_error_intervals,"(-3, -1]",0.30000000000000004,0.4,1748,0.33342254546095385,0.6058352402745996,-0.2724126948136457
test,ngboost_normal_v0,day9_forecast_error_intervals,"(-3, -1]",0.4,0.5,0,,,
test,ngboost_normal_v0,day9_forecast_error_intervals,"(-3, -1]",0.5,0.6000000000000001,0,,,
