fetched_at,evaluated_at,ticker,staleness_seconds,max_staleness_seconds,best_yes_bid,best_yes_bid_size,best_yes_ask,best_yes_ask_size,yes_spread,yes_midpoint,best_no_bid,best_no_bid_size,best_no_ask,best_no_ask_size,no_spread,no_midpoint,yes_bid_depth,yes_ask_depth,no_bid_depth,no_ask_depth,max_spread_dollars,orderbook_status,orderbook_reason,event_ticker,close_time,market_status,eligible
2026-09-02T20:53:39.678375+00:00,2026-09-02T20:53:39.678375+00:00,KXHIGHNY-26SEP03-B87.5,0.0,,0.04,5.0,0.05,2.0,0.010000000000000002,0.045,0.95,2.0,0.96,5.0,0.010000000000000009,0.955,2576.72,908.1800000000001,908.1800000000001,2576.72,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-02T20:53:39.678375+00:00,2026-09-02T20:53:39.678375+00:00,KXHIGHNY-26SEP03-B85.5,0.0,,0.15,10.0,0.16,6.0,0.010000000000000009,0.155,0.84,6.0,0.85,10.0,0.010000000000000009,0.845,4602.7,2007.42,2007.42,4602.7,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-02T20:53:39.678375+00:00,2026-09-02T20:53:39.678375+00:00,KXHIGHNY-26SEP03-B83.5,0.0,,0.45,40.57,0.47,40.0,0.019999999999999962,0.45999999999999996,0.53,40.0,0.55,40.57,0.020000000000000018,0.54,1888.26,1963.46,1963.46,1888.26,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-02T20:53:39.678375+00:00,2026-09-02T20:53:39.678375+00:00,KXHIGHNY-26SEP02-T82,0.0,,,,0.01,15502.03,,,0.99,15502.03,,,,,0.0,19489.03,19489.03,0.0,,OK,,KXHIGHNY-26SEP02,2026-09-03T05:00:00Z,active,True
2026-09-02T20:53:39.678375+00:00,2026-09-02T20:53:39.678375+00:00,KXHIGHNY-26SEP02-T75,0.0,,0.99,25.0,,,,,,,0.01,25.0,,,2810.68,0.0,0.0,2810.68,,OK,,KXHIGHNY-26SEP02,2026-09-03T05:00:00Z,active,True
2026-09-02T20:53:39.678375+00:00,2026-09-02T20:53:39.678375+00:00,KXHIGHNY-26SEP02-B81.5,0.0,,,,0.01,12751.9,,,0.99,12751.9,,,,,0.0,19608.690000000002,19608.690000000002,0.0,,OK,,KXHIGHNY-26SEP02,2026-09-03T05:00:00Z,active,True
2026-09-02T20:53:39.678375+00:00,2026-09-02T20:53:39.678375+00:00,KXHIGHNY-26SEP02-B79.5,0.0,,,,0.01,17729.39,,,0.99,17729.39,,,,,0.0,19901.589999999997,19901.589999999997,0.0,,OK,,KXHIGHNY-26SEP02,2026-09-03T05:00:00Z,active,True
2026-09-02T20:53:39.678375+00:00,2026-09-02T20:53:39.678375+00:00,KXHIGHNY-26SEP02-B77.5,0.0,,,,0.01,1351.42,,,0.99,1351.42,,,,,0.0,3394.76,3394.76,0.0,,OK,,KXHIGHNY-26SEP02,2026-09-03T05:00:00Z,active,True
2026-09-02T20:53:39.678375+00:00,2026-09-02T20:53:39.678375+00:00,KXHIGHNY-26SEP02-B75.5,0.0,,,,0.01,156.85,,,0.99,156.85,,,,,0.0,2582.6499999999996,2582.6499999999996,0.0,,OK,,KXHIGHNY-26SEP02,2026-09-03T05:00:00Z,active,True
2026-09-02T23:13:08.657250+00:00,2026-09-02T23:13:08.657250+00:00,KXHIGHNY-26SEP03-T90,0.0,,,,0.01,6337.0,,,0.99,6337.0,,,,,0.0,8697.5,8697.5,0.0,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-02T23:13:08.657250+00:00,2026-09-02T23:13:08.657250+00:00,KXHIGHNY-26SEP03-T83,0.0,,0.35,6.54,0.36,69.0,0.010000000000000009,0.355,0.64,69.0,0.65,6.54,0.010000000000000009,0.645,1969.19,2042.8700000000001,2042.8700000000001,1969.19,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-02T23:13:08.657250+00:00,2026-09-02T23:13:08.657250+00:00,KXHIGHNY-26SEP03-B89.5,0.0,,0.01,713.0,0.03,137.0,0.019999999999999997,0.02,0.97,137.0,0.99,713.0,0.020000000000000018,0.98,713.0,1615.56,1615.56,713.0,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-02T23:13:08.657250+00:00,2026-09-02T23:13:08.657250+00:00,KXHIGHNY-26SEP03-B87.5,0.0,,0.05,72.0,0.07,185.0,0.020000000000000004,0.060000000000000005,0.93,185.0,0.95,72.0,0.019999999999999907,0.94,3326.85,1418.5,1418.5,3326.85,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-02T23:13:08.657250+00:00,2026-09-02T23:13:08.657250+00:00,KXHIGHNY-26SEP03-B85.5,0.0,,0.14,7.0,0.17,11.0,0.03,0.15500000000000003,0.83,11.0,0.86,7.0,0.030000000000000027,0.845,3657.02,1294.65,1294.65,3657.02,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-02T23:13:08.657250+00:00,2026-09-02T23:13:08.657250+00:00,KXHIGHNY-26SEP03-B83.5,0.0,,0.43,12.0,0.45,60.0,0.020000000000000018,0.44,0.55,60.0,0.57,12.0,0.019999999999999907,0.56,889.86,881.9699999999999,881.9699999999999,889.86,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-02T23:13:08.657250+00:00,2026-09-02T23:13:08.657250+00:00,KXHIGHNY-26SEP02-T82,0.0,,,,0.01,14239.03,,,0.99,14239.03,,,,,0.0,18092.03,18092.03,0.0,,OK,,KXHIGHNY-26SEP02,2026-09-03T05:00:00Z,active,True
2026-09-02T23:13:08.657250+00:00,2026-09-02T23:13:08.657250+00:00,KXHIGHNY-26SEP02-T75,0.0,,0.99,70.68,,,,,,,0.01,70.68,,,2433.1000000000004,0.0,0.0,2433.1000000000004,,OK,,KXHIGHNY-26SEP02,2026-09-03T05:00:00Z,active,True
2026-09-02T23:13:08.657250+00:00,2026-09-02T23:13:08.657250+00:00,KXHIGHNY-26SEP02-B81.5,0.0,,,,0.01,11530.9,,,0.99,11530.9,,,,,0.0,18237.690000000002,18237.690000000002,0.0,,OK,,KXHIGHNY-26SEP02,2026-09-03T05:00:00Z,active,True
