run_id,feature_set,feature_count,distribution,hyperparams_name,sigma_factor,split,nll,bucket_log_loss,bucket_brier,mean_sigma,median_sigma,nll_rank,brier_rank,log_loss_rank,rank_sum
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,1.2,test,1.8550741641060338,1.1091080719885338,0.11731729101527652,2.9517519666038647,2.8953611544174533,61.0,19.0,43.0,123.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,1.25,validation,1.8940608505787218,1.1211734553589683,0.12079380943956994,2.8695871264337542,2.9501986762868726,113.0,43.0,72.0,228.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,1.25,test,1.8719655820350651,1.117412187400054,0.11801178098268209,3.074741631879026,3.01600120251818,113.0,43.0,72.0,228.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,1.3,validation,1.9060378222712806,1.12757462956592,0.1212245952422895,2.984370611491105,3.0682066233383476,198.0,75.0,146.0,419.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,1.3,test,1.8905194936461651,1.1271192967080492,0.1188609397513494,3.1977312971541867,3.136641250618908,198.0,75.0,146.0,419.0
plus_ndfd_metadata__skew_normal__regularized_160_lr004_depth2_leaf75_sub1_direct,plus_ndfd_metadata,38,skew_normal,regularized_160_lr004_depth2_leaf75_sub1_direct,0.9,validation,1.9202239281351277,1.1490690937451438,0.12386097899833766,2.051776200502392,2.08068871195257,236.0,245.0,246.0,727.0
plus_ndfd_metadata__skew_normal__regularized_160_lr004_depth2_leaf75_sub1_direct,plus_ndfd_metadata,38,skew_normal,regularized_160_lr004_depth2_leaf75_sub1_direct,0.9,test,1.8118433596204737,1.1052346020127541,0.11719201368545291,2.204968234548152,2.161787857924652,236.0,245.0,246.0,727.0
plus_ndfd_metadata__skew_normal__regularized_160_lr004_depth2_leaf75_sub1_direct,plus_ndfd_metadata,38,skew_normal,regularized_160_lr004_depth2_leaf75_sub1_direct,0.95,validation,1.8948588215714917,1.1319851340733766,0.12249533636009713,2.1657637671969687,2.196282529283268,120.0,205.0,192.0,517.0
plus_ndfd_metadata__skew_normal__regularized_160_lr004_depth2_leaf75_sub1_direct,plus_ndfd_metadata,38,skew_normal,regularized_160_lr004_depth2_leaf75_sub1_direct,0.95,test,1.8043040519984013,1.0957356562253995,0.11638363878470488,2.3274664698008274,2.2818871833649106,120.0,205.0,192.0,517.0
plus_ndfd_metadata__skew_normal__regularized_160_lr004_depth2_leaf75_sub1_direct,plus_ndfd_metadata,38,skew_normal,regularized_160_lr004_depth2_leaf75_sub1_direct,1.0,validation,1.8790883116477153,1.120612843469385,0.1214825769537776,2.2797513338915456,2.3118763466139667,45.0,112.0,67.0,224.0
plus_ndfd_metadata__skew_normal__regularized_160_lr004_depth2_leaf75_sub1_direct,plus_ndfd_metadata,38,skew_normal,regularized_160_lr004_depth2_leaf75_sub1_direct,1.0,test,1.8038206993174424,1.0910228065238305,0.11591627830946291,2.4499647050535023,2.401986508805169,45.0,112.0,67.0,224.0
plus_ndfd_metadata__skew_normal__regularized_160_lr004_depth2_leaf75_sub1_direct,plus_ndfd_metadata,38,skew_normal,regularized_160_lr004_depth2_leaf75_sub1_direct,1.03,validation,1.8733654138220777,1.116066841915293,0.1210293368577386,2.3481438739082923,2.3812326370123857,19.0,61.0,37.0,117.0
plus_ndfd_metadata__skew_normal__regularized_160_lr004_depth2_leaf75_sub1_direct,plus_ndfd_metadata,38,skew_normal,regularized_160_lr004_depth2_leaf75_sub1_direct,1.03,test,1.8062485923259308,1.0900950271307706,0.11578276340514648,2.5234636462051077,2.4740461040693242,19.0,61.0,37.0,117.0
plus_ndfd_metadata__skew_normal__regularized_160_lr004_depth2_leaf75_sub1_direct,plus_ndfd_metadata,38,skew_normal,regularized_160_lr004_depth2_leaf75_sub1_direct,1.05,validation,1.8708815194782062,1.113861272800078,0.12078695976440731,2.3937389005861234,2.427470163944665,9.0,42.0,19.0,70.0
plus_ndfd_metadata__skew_normal__regularized_160_lr004_depth2_leaf75_sub1_direct,plus_ndfd_metadata,38,skew_normal,regularized_160_lr004_depth2_leaf75_sub1_direct,1.05,test,1.8088250943420476,1.0901621224800195,0.11574998427242149,2.572462940306177,2.5220858342454275,9.0,42.0,19.0,70.0
plus_ndfd_metadata__skew_normal__regularized_160_lr004_depth2_leaf75_sub1_direct,plus_ndfd_metadata,38,skew_normal,regularized_160_lr004_depth2_leaf75_sub1_direct,1.08,validation,1.8689229334973834,1.111663110758927,0.12050786025176126,2.46213144060287,2.496826454343084,5.0,16.0,7.0,28.0
plus_ndfd_metadata__skew_normal__regularized_160_lr004_depth2_leaf75_sub1_direct,plus_ndfd_metadata,38,skew_normal,regularized_160_lr004_depth2_leaf75_sub1_direct,1.08,test,1.813950315303168,1.0911820282437314,0.11577957396837835,2.6459618814577825,2.5941454295095827,5.0,16.0,7.0,28.0
plus_ndfd_metadata__skew_normal__regularized_160_lr004_depth2_leaf75_sub1_direct,plus_ndfd_metadata,38,skew_normal,regularized_160_lr004_depth2_leaf75_sub1_direct,1.1,validation,1.8686771611523052,1.110871465061042,0.12037518411186236,2.5077264672807007,2.5430639812753633,4.0,5.0,2.0,11.0
plus_ndfd_metadata__skew_normal__regularized_160_lr004_depth2_leaf75_sub1_direct,plus_ndfd_metadata,38,skew_normal,regularized_160_lr004_depth2_leaf75_sub1_direct,1.1,test,1.818116919785522,1.0924180009149074,0.11584870884504317,2.694961175558853,2.642185159685686,4.0,5.0,2.0,11.0
plus_ndfd_metadata__skew_normal__regularized_160_lr004_depth2_leaf75_sub1_direct,plus_ndfd_metadata,38,skew_normal,regularized_160_lr004_depth2_leaf75_sub1_direct,1.12,validation,1.869194690964394,1.110570864808927,0.12028296809016462,2.553321493958532,2.589301508207643,6.0,4.0,1.0,11.0
plus_ndfd_metadata__skew_normal__regularized_160_lr004_depth2_leaf75_sub1_direct,plus_ndfd_metadata,38,skew_normal,regularized_160_lr004_depth2_leaf75_sub1_direct,1.12,test,1.8228186812060934,1.0940577096075936,0.11595500396748093,2.743960469659923,2.6902248898617898,6.0,4.0,1.0,11.0
plus_ndfd_metadata__skew_normal__regularized_160_lr004_depth2_leaf75_sub1_direct,plus_ndfd_metadata,38,skew_normal,regularized_160_lr004_depth2_leaf75_sub1_direct,1.15,validation,1.871261481133936,1.1109600188445394,0.12021645818578874,2.6217140339752776,2.658657798606061,10.0,1.0,3.0,14.0
