trade_id,city,target_date,event_ticker,market_ticker,signal_timestamp,execution_timestamp,settlement_timestamp,prediction_time,probability_age_minutes,model_probability,side,entry_price,unadjusted_entry_price,quote_source,quote_field,execution_gap_minutes,contracts,gross_cost,fees,slippage_per_contract,cash_committed,predicted_edge,lower_confidence_edge,settlement,settlement_source,execution_assumption,evidence_label,supports_profitability_claim,cash_after_settlement,gross_pnl,net_pnl,outer_fold_id,selected_filter_candidate
11,NYC,2025-05-24,KXHIGHNY-25MAY24,KXHIGHNY-25MAY24-B64.5,2025-05-24 13:30:00+00:00,2025-05-24 13:31:00+00:00,2025-05-31 14:00:00+00:00,2025-05-24 13:00:00+00:00,30.0,0.5970331875068354,BUY_YES,0.31,0.3,kalshi_candlestick,yes_ask_open,1.0,1,0.31,0.02,0.01,0.33,0.2670331875068354,0.1483048391819731,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.92,0.69,0.6699999999999999,trading_outer_00,edge_0_all_both_unlimited
12,NYC,2025-05-24,KXHIGHNY-25MAY24,KXHIGHNY-25MAY24-T62,2025-05-24 13:30:00+00:00,2025-05-24 13:31:00+00:00,2025-05-31 14:00:00+00:00,2025-05-24 13:00:00+00:00,30.0,0.4029668124931647,BUY_YES,0.17,0.16,kalshi_candlestick,yes_ask_open,1.0,1,0.17,0.01,0.01,0.18,0.2229668124931646,0.1146154526138885,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.92,-0.17,-0.18,trading_outer_00,edge_0_all_both_unlimited
14,NYC,2025-05-30,KXHIGHNY-25MAY30,KXHIGHNY-25MAY30-B77.5,2025-05-30 15:15:00+00:00,2025-05-30 15:16:00+00:00,2025-06-06 14:00:00+00:00,2025-05-30 15:00:00+00:00,15.0,0.2108169634787051,BUY_YES,0.08,0.07,kalshi_candlestick,yes_ask_open,1.0,1,0.08,0.01,0.0099999999999999,0.09,0.1208169634787051,0.0407012019804581,0,kalshi_result,next_candle_open,historical_proxy_validated,False,998.78,-0.08,-0.09,trading_outer_00,edge_0_all_both_unlimited
15,NYC,2025-05-30,KXHIGHNY-25MAY30,KXHIGHNY-25MAY30-T73,2025-05-30 15:15:00+00:00,2025-05-30 15:16:00+00:00,2025-06-06 14:00:00+00:00,2025-05-30 15:00:00+00:00,15.0,0.1948029769595473,BUY_YES,0.09,0.08,kalshi_candlestick,yes_ask_open,1.0,1,0.09,0.01,0.0099999999999999,0.0999999999999999,0.0948029769595473,0.0180977896389079,0,kalshi_result,next_candle_open,historical_proxy_validated,False,998.78,-0.09,-0.0999999999999999,trading_outer_00,edge_0_all_both_unlimited
13,NYC,2025-05-30,KXHIGHNY-25MAY30,KXHIGHNY-25MAY30-B75.5,2025-05-30 15:15:00+00:00,2025-05-30 15:17:00+00:00,2025-06-06 14:00:00+00:00,2025-05-30 15:00:00+00:00,15.0,0.5943800595617476,BUY_YES,0.44,0.43,kalshi_candlestick,yes_ask_open,2.0,1,0.44,0.02,0.01,0.46,0.1343800595617475,0.0156804442612682,1,kalshi_result,next_candle_open,historical_proxy_validated,False,998.78,0.56,0.54,trading_outer_00,edge_0_all_both_unlimited
16,NYC,2025-05-30,KXHIGHNY-25MAY30,KXHIGHNY-25MAY30-T80,2025-05-30 15:25:00+00:00,2025-05-30 15:26:00+00:00,2025-06-06 14:00:00+00:00,2025-05-30 15:00:00+00:00,25.0,0.1599461869335233,BUY_YES,0.02,0.01,kalshi_candlestick,yes_ask_open,1.0,1,0.02,0.01,0.01,0.03,0.1299461869335233,0.0614389670502386,0,kalshi_result,next_candle_open,historical_proxy_validated,False,998.78,-0.02,-0.03,trading_outer_00,edge_0_all_both_unlimited
17,NYC,2025-05-31,KXHIGHNY-25MAY31,KXHIGHNY-25MAY31-B70.5,2025-05-31 14:50:00+00:00,2025-05-31 14:51:00+00:00,2025-06-07 14:00:00+00:00,2025-05-31 14:00:00+00:00,50.0,0.3201989846676697,BUY_YES,0.14,0.13,kalshi_candlestick,yes_ask_open,1.0,1,0.14,0.01,0.01,0.15,0.1701989846676697,0.07150056386714,0,kalshi_result,next_candle_open,historical_proxy_validated,False,998.78,-0.14,-0.15,trading_outer_00,edge_0_all_both_unlimited
18,NYC,2025-05-31,KXHIGHNY-25MAY31,KXHIGHNY-25MAY31-T68,2025-05-31 14:50:00+00:00,2025-05-31 14:51:00+00:00,2025-06-07 14:00:00+00:00,2025-05-31 14:00:00+00:00,50.0,0.6798010153323303,BUY_YES,0.43,0.42,kalshi_candlestick,yes_ask_open,1.0,1,0.43,0.02,0.01,0.45,0.2298010153323303,0.1118741933368297,1,kalshi_result,next_candle_open,historical_proxy_validated,False,999.78,0.5700000000000001,0.55,trading_outer_00,edge_0_all_both_unlimited
19,NYC,2025-06-01,KXHIGHNY-25JUN01,KXHIGHNY-25JUN01-B66.5,2025-06-01 15:50:00+00:00,2025-06-01 15:51:00+00:00,2025-06-08 14:00:00+00:00,2025-06-01 15:00:00+00:00,50.0,0.6129781318249845,BUY_YES,0.44,0.43,kalshi_candlestick,yes_ask_open,1.0,1,0.44,0.02,0.01,0.46,0.1529781318249845,0.0341460047308899,1,kalshi_result,next_candle_open,historical_proxy_validated,False,999.97,0.56,0.54,trading_outer_00,edge_0_all_both_unlimited
20,NYC,2025-06-01,KXHIGHNY-25JUN01,KXHIGHNY-25JUN01-B68.5,2025-06-01 15:50:00+00:00,2025-06-01 15:51:00+00:00,2025-06-08 14:00:00+00:00,2025-06-01 15:00:00+00:00,50.0,0.3870218681750155,BUY_YES,0.25,0.24,kalshi_candlestick,yes_ask_open,1.0,1,0.25,0.02,0.01,0.27,0.1170218681750155,0.0102719244933662,0,kalshi_result,next_candle_open,historical_proxy_validated,False,999.97,-0.25,-0.27,trading_outer_00,edge_0_all_both_unlimited
21,NYC,2025-06-04,KXHIGHNY-25JUN04,KXHIGHNY-25JUN04-B82.5,2025-06-04 13:25:00+00:00,2025-06-04 13:26:00+00:00,2025-06-11 14:00:00+00:00,2025-06-04 13:00:00+00:00,25.0,0.6411170125100824,BUY_YES,0.47,0.46,kalshi_candlestick,yes_ask_open,1.0,1,0.47,0.0199999999999999,0.01,0.49,0.1511170125100823,0.032396016029363,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.97,0.53,0.51,trading_outer_00,edge_0_all_both_unlimited
22,NYC,2025-06-04,KXHIGHNY-25JUN04,KXHIGHNY-25JUN04-B86.5,2025-06-04 17:40:00+00:00,2025-06-04 17:41:00+00:00,2025-06-11 14:00:00+00:00,2025-06-04 17:00:00+00:00,40.0,0.3670646893318238,BUY_YES,0.12,0.11,kalshi_candlestick,yes_ask_open,1.0,1,0.12,0.01,0.0099999999999999,0.13,0.2370646893318238,0.1324884229407857,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.97,-0.12,-0.13,trading_outer_00,edge_0_all_both_unlimited
23,NYC,2025-06-05,KXHIGHNY-25JUN05,KXHIGHNY-25JUN05-B86.5,2025-06-05 13:05:00+00:00,2025-06-05 13:06:00+00:00,2025-06-12 14:00:00+00:00,2025-06-05 13:00:00+00:00,5.0,0.4675700204996347,BUY_YES,0.22,0.21,kalshi_candlestick,yes_ask_open,1.0,1,0.22,0.02,0.01,0.24,0.2275700204996347,0.1139151649257775,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.97,0.78,0.76,trading_outer_00,edge_0_all_both_unlimited
24,NYC,2025-06-05,KXHIGHNY-25JUN05,KXHIGHNY-25JUN05-B90.5,2025-06-05 13:05:00+00:00,2025-06-05 13:06:00+00:00,2025-06-12 14:00:00+00:00,2025-06-05 13:00:00+00:00,5.0,0.5324299795003652,BUY_YES,0.3,0.29,kalshi_candlestick,yes_ask_open,1.0,1,0.3,0.02,0.01,0.32,0.2124299795003652,0.0953069752321019,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.97,-0.3,-0.32,trading_outer_00,edge_0_all_both_unlimited
25,NYC,2025-06-05,KXHIGHNY-25JUN05,KXHIGHNY-25JUN05-B88.5,2025-06-05 13:10:00+00:00,2025-06-05 13:11:00+00:00,2025-06-12 14:00:00+00:00,2025-06-05 13:00:00+00:00,10.0,0.6954950482942301,BUY_YES,0.52,0.51,kalshi_candlestick,yes_ask_open,1.0,1,0.52,0.02,0.01,0.54,0.1554950482942301,0.0381140137094253,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.97,-0.52,-0.54,trading_outer_00,edge_0_all_both_unlimited
26,NYC,2025-06-05,KXHIGHNY-25JUN05,KXHIGHNY-25JUN05-B84.5,2025-06-05 13:45:00+00:00,2025-06-05 13:46:00+00:00,2025-06-12 14:00:00+00:00,2025-06-05 13:00:00+00:00,45.0,0.2765118358628871,BUY_YES,0.04,0.03,kalshi_candlestick,yes_ask_open,1.0,1,0.04,0.01,0.01,0.05,0.226511835862887,0.1343471534820813,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.97,-0.04,-0.05,trading_outer_00,edge_0_all_both_unlimited
27,NYC,2025-06-05,KXHIGHNY-25JUN05,KXHIGHNY-25JUN05-T84,2025-06-05 13:45:00+00:00,2025-06-05 13:46:00+00:00,2025-06-12 14:00:00+00:00,2025-06-05 13:00:00+00:00,45.0,0.2566022254310036,BUY_YES,0.03,0.02,kalshi_candlestick,yes_ask_open,1.0,1,0.03,0.01,0.0099999999999999,0.04,0.2166022254310036,0.1277865585901363,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.97,-0.03,-0.04,trading_outer_00,edge_0_all_both_unlimited
29,NYC,2025-06-07,KXHIGHNY-25JUN07,KXHIGHNY-25JUN07-T77,2025-06-07 14:45:00+00:00,2025-06-07 14:46:00+00:00,2025-06-14 14:00:00+00:00,2025-06-07 14:00:00+00:00,45.0,0.8927435486264392,BUY_YES,0.75,0.74,kalshi_candlestick,yes_ask_open,1.0,1,0.75,0.02,0.01,0.77,0.1227435486264392,0.0271706696210595,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.35,0.25,0.2299999999999999,trading_outer_00,edge_0_all_both_unlimited
28,NYC,2025-06-07,KXHIGHNY-25JUN07,KXHIGHNY-25JUN07-B81.5,2025-06-07 14:45:00+00:00,2025-06-07 14:47:00+00:00,2025-06-14 14:00:00+00:00,2025-06-07 14:00:00+00:00,45.0,0.1072564513735608,BUY_YES,0.03,0.02,kalshi_candlestick,yes_ask_open,2.0,1,0.03,0.01,0.0099999999999999,0.04,0.0672564513735608,0.0136846172775631,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.35,-0.03,-0.04,trading_outer_00,edge_0_all_both_unlimited
30,NYC,2025-06-12,KXHIGHNY-25JUN12,KXHIGHNY-25JUN12-B87.5,2025-06-12 15:25:00+00:00,2025-06-12 15:26:00+00:00,2025-06-19 14:00:00+00:00,2025-06-12 15:00:00+00:00,25.0,0.7280932364501377,BUY_YES,0.48,0.47,kalshi_candlestick,yes_ask_open,1.0,1,0.48,0.02,0.01,0.5,0.2280932364501377,0.1122885832535,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.1,0.52,0.5,trading_outer_00,edge_0_all_both_unlimited
31,NYC,2025-06-12,KXHIGHNY-25JUN12,KXHIGHNY-25JUN12-B91.5,2025-06-12 15:25:00+00:00,2025-06-12 15:26:00+00:00,2025-06-19 14:00:00+00:00,2025-06-12 15:00:00+00:00,25.0,0.2719067635498623,BUY_YES,0.11,0.1,kalshi_candlestick,yes_ask_open,1.0,1,0.11,0.01,0.0099999999999999,0.12,0.1519067635498623,0.0604950107615793,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.1,-0.11,-0.12,trading_outer_00,edge_0_all_both_unlimited
32,NYC,2025-06-15,KXHIGHNY-25JUN15,KXHIGHNY-25JUN15-B64.5,2025-06-15 15:15:00+00:00,2025-06-15 15:16:00+00:00,2025-06-22 14:00:00+00:00,2025-06-15 15:00:00+00:00,15.0,0.594505114558709,BUY_YES,0.45,0.44,kalshi_candlestick,yes_ask_open,1.0,1,0.45,0.02,0.01,0.47,0.124505114558709,0.0058040720029661,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.97,0.55,0.53,trading_outer_00,edge_0_all_both_unlimited
33,NYC,2025-06-15,KXHIGHNY-25JUN15,KXHIGHNY-25JUN15-B70.5,2025-06-15 18:05:00+00:00,2025-06-15 18:07:00+00:00,2025-06-22 14:00:00+00:00,2025-06-15 18:00:00+00:00,5.0,0.2284551519982186,BUY_YES,0.02,0.01,kalshi_candlestick,yes_ask_open,2.0,1,0.02,0.01,0.01,0.03,0.1984551519982186,0.1148125717389254,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.97,-0.02,-0.03,trading_outer_00,edge_0_all_both_unlimited
34,NYC,2025-06-15,KXHIGHNY-25JUN15,KXHIGHNY-25JUN15-B66.5,2025-06-15 18:40:00+00:00,2025-06-15 18:41:00+00:00,2025-06-22 14:00:00+00:00,2025-06-15 18:00:00+00:00,40.0,0.3525343619246598,BUY_YES,0.05,0.04,kalshi_candlestick,yes_ask_open,1.0,1,0.05,0.01,0.01,0.06,0.2925343619246598,0.1896620798157838,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.97,-0.05,-0.06,trading_outer_00,edge_0_all_both_unlimited
35,NYC,2025-06-16,KXHIGHNY-25JUN16,KXHIGHNY-25JUN16-B68.5,2025-06-16 15:20:00+00:00,2025-06-16 15:21:00+00:00,2025-06-23 14:00:00+00:00,2025-06-16 15:00:00+00:00,20.0,0.4659609245744473,BUY_YES,0.33,0.32,kalshi_candlestick,yes_ask_open,1.0,1,0.33,0.02,0.01,0.35,0.1159609245744473,0.0024155683353141,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.97,0.6699999999999999,0.6499999999999999,trading_outer_00,edge_0_all_both_unlimited
36,NYC,2025-06-16,KXHIGHNY-25JUN16,KXHIGHNY-25JUN16-B70.5,2025-06-16 15:20:00+00:00,2025-06-16 15:22:00+00:00,2025-06-23 14:00:00+00:00,2025-06-16 15:00:00+00:00,20.0,0.1723209791175651,BUY_YES,0.08,0.07,kalshi_candlestick,yes_ask_open,2.0,1,0.08,0.01,0.0099999999999999,0.09,0.0823209791175651,0.0107726209390207,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.97,-0.08,-0.09,trading_outer_00,edge_0_all_both_unlimited
37,NYC,2025-06-16,KXHIGHNY-25JUN16,KXHIGHNY-25JUN16-T66,2025-06-16 15:20:00+00:00,2025-06-16 15:22:00+00:00,2025-06-23 14:00:00+00:00,2025-06-16 15:00:00+00:00,20.0,0.3617180963079877,BUY_YES,0.23,0.22,kalshi_candlestick,yes_ask_open,2.0,1,0.23,0.02,0.01,0.25,0.1117180963079876,0.0077567729222853,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.97,-0.23,-0.25,trading_outer_00,edge_0_all_both_unlimited
38,NYC,2025-06-19,KXHIGHNY-25JUN19,KXHIGHNY-25JUN19-B87.5,2025-06-19 15:25:00+00:00,2025-06-19 15:26:00+00:00,2025-06-26 14:00:00+00:00,2025-06-19 15:00:00+00:00,25.0,0.56697667776777,BUY_YES,0.24,0.23,kalshi_candlestick,yes_ask_open,1.0,1,0.24,0.0199999999999999,0.01,0.26,0.3069766777677701,0.1887620415747312,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.9,0.76,0.74,trading_outer_00,edge_0_all_both_unlimited
39,NYC,2025-06-19,KXHIGHNY-25JUN19,KXHIGHNY-25JUN19-B93.5,2025-06-19 15:25:00+00:00,2025-06-19 15:26:00+00:00,2025-06-26 14:00:00+00:00,2025-06-19 15:00:00+00:00,25.0,0.43302332223223,BUY_YES,0.15,0.14,kalshi_candlestick,yes_ask_open,1.0,1,0.15,0.0099999999999999,0.01,0.16,0.2730233222322301,0.1619713509910247,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.9,-0.15,-0.16,trading_outer_00,edge_0_all_both_unlimited
40,NYC,2025-06-21,KXHIGHNY-25JUN21,KXHIGHNY-25JUN21-B86.5,2025-06-21 15:35:00+00:00,2025-06-21 15:36:00+00:00,2025-06-28 14:00:00+00:00,2025-06-21 15:00:00+00:00,35.0,0.5795870001384559,BUY_YES,0.4,0.39,kalshi_candlestick,yes_ask_open,1.0,1,0.4,0.02,0.01,0.42,0.1595870001384558,0.0411068078424047,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1003.9,0.6,0.58,trading_outer_00,edge_0_all_both_unlimited
41,NYC,2025-06-21,KXHIGHNY-25JUN21,KXHIGHNY-25JUN21-B92.5,2025-06-21 15:45:00+00:00,2025-06-21 15:46:00+00:00,2025-06-28 14:00:00+00:00,2025-06-21 15:00:00+00:00,45.0,0.1355977569291851,BUY_YES,0.03,0.02,kalshi_candlestick,yes_ask_open,1.0,1,0.03,0.01,0.0099999999999999,0.04,0.0955977569291851,0.033553099579282,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1003.9,-0.03,-0.04,trading_outer_00,edge_0_all_both_unlimited
42,NYC,2025-06-21,KXHIGHNY-25JUN21,KXHIGHNY-25JUN21-T86,2025-06-21 15:45:00+00:00,2025-06-21 15:46:00+00:00,2025-06-28 14:00:00+00:00,2025-06-21 15:00:00+00:00,45.0,0.2645942848274096,BUY_YES,0.16,0.15,kalshi_candlestick,yes_ask_open,1.0,1,0.16,0.01,0.01,0.17,0.0945942848274096,0.0044047094642199,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1003.9,-0.16,-0.17,trading_outer_00,edge_0_all_both_unlimited
43,NYC,2025-06-21,KXHIGHNY-25JUN21,KXHIGHNY-25JUN21-B88.5,2025-06-21 17:10:00+00:00,2025-06-21 17:11:00+00:00,2025-06-28 14:00:00+00:00,2025-06-21 17:00:00+00:00,10.0,0.1576199926369729,BUY_YES,0.0699999999999999,0.06,kalshi_candlestick,yes_ask_open,1.0,1,0.0699999999999999,0.01,0.0099999999999999,0.08,0.0776199926369729,0.0097018075590065,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1003.9,-0.0699999999999999,-0.08,trading_outer_00,edge_0_all_both_unlimited
44,NYC,2025-06-24,KXHIGHNY-25JUN24,KXHIGHNY-25JUN24-B98.5,2025-06-24 13:25:00+00:00,2025-06-24 13:26:00+00:00,2025-07-01 14:00:00+00:00,2025-06-24 13:00:00+00:00,25.0,0.4892260881647723,BUY_YES,0.33,0.32,kalshi_candlestick,yes_ask_open,1.0,1,0.33,0.02,0.01,0.35,0.1392260881647723,0.0242082425508274,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1004.9,0.6699999999999999,0.6499999999999999,trading_outer_00,edge_0_all_both_unlimited
45,NYC,2025-06-24,KXHIGHNY-25JUN24,KXHIGHNY-25JUN24-B100.5,2025-06-24 18:45:00+00:00,2025-06-24 18:46:00+00:00,2025-07-01 14:00:00+00:00,2025-06-24 18:00:00+00:00,45.0,0.1728781976810394,BUY_NO,0.7,0.69,kalshi_candlestick,implied_no_ask_from_yes_bid_open,1.0,1,0.7,0.02,0.01,0.72,0.1071218023189605,0.0004567649380444,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1005.9,0.3,0.28,trading_outer_00,edge_0_all_both_unlimited
46,NYC,2025-07-01,KXHIGHNY-25JUL01,KXHIGHNY-25JUL01-B88.5,2025-07-01 17:00:00+00:00,2025-07-01 17:01:00+00:00,2025-07-08 14:00:00+00:00,2025-07-01 17:00:00+00:00,0.0,0.7362967364132657,BUY_YES,0.55,0.54,kalshi_candlestick,yes_ask_open,1.0,1,0.55,0.02,0.01,0.5700000000000001,0.1662967364132656,0.0509881394695801,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1006.33,0.4499999999999999,0.4299999999999999,trading_outer_00,edge_0_all_both_unlimited
48,NYC,2025-07-09,KXHIGHNY-25JUL09,KXHIGHNY-25JUL09-B90.5,2025-07-09 18:05:00+00:00,2025-07-09 18:06:00+00:00,2025-07-16 14:00:00+00:00,2025-07-09 18:00:00+00:00,5.0,0.7611716549055991,BUY_YES,0.38,0.37,kalshi_candlestick,yes_ask_open,1.0,1,0.38,0.02,0.01,0.4,0.3611716549055991,0.2476296170720512,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1006.9,0.62,0.6,trading_outer_00,edge_0_all_both_unlimited
47,NYC,2025-07-09,KXHIGHNY-25JUL09,KXHIGHNY-25JUL09-B86.5,2025-07-09 18:05:00+00:00,2025-07-09 18:07:00+00:00,2025-07-16 14:00:00+00:00,2025-07-09 18:00:00+00:00,5.0,0.1019309033746959,BUY_YES,0.02,0.01,kalshi_candlestick,yes_ask_open,2.0,1,0.02,0.01,0.01,0.03,0.0719309033746959,0.0200869705381324,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1005.9,-0.02,-0.03,trading_outer_00,edge_0_all_both_unlimited
49,NYC,2025-07-18,KXHIGHNY-25JUL18,KXHIGHNY-25JUL18-B81.5,2025-07-18 22:30:00+00:00,2025-07-18 22:31:00+00:00,2025-07-25 14:00:00+00:00,2025-07-18 22:00:00+00:00,30.0,0.6223599256905106,BUY_NO,0.24,0.2299999999999999,kalshi_candlestick,implied_no_ask_from_yes_bid_open,1.0,1,0.24,0.02,0.01,0.26,0.1176400743094894,0.0118882486760169,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1005.0100000000002,-0.24,-0.26,trading_outer_00,edge_0_all_both_unlimited
50,NYC,2025-07-18,KXHIGHNY-25JUL18,KXHIGHNY-25JUL18-B83.5,2025-07-18 22:50:00+00:00,2025-07-18 22:51:00+00:00,2025-07-25 14:00:00+00:00,2025-07-18 22:00:00+00:00,50.0,0.3933011640099827,BUY_YES,0.26,0.25,kalshi_candlestick,yes_ask_open,1.0,1,0.26,0.02,0.01,0.28,0.1133011640099827,0.0059063920893173,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1005.0100000000002,-0.26,-0.28,trading_outer_00,edge_0_all_both_unlimited
