trade_id,city,target_date,event_ticker,market_ticker,signal_timestamp,execution_timestamp,settlement_timestamp,prediction_time,probability_age_minutes,model_probability,side,entry_price,unadjusted_entry_price,quote_source,quote_field,execution_gap_minutes,contracts,gross_cost,fees,slippage_per_contract,cash_committed,predicted_edge,lower_confidence_edge,settlement,settlement_source,execution_assumption,evidence_label,supports_profitability_claim,cash_after_settlement,gross_pnl,net_pnl
11,NYC,2025-06-19,KXHIGHNY-25JUN19,KXHIGHNY-25JUN19-B87.5,2025-06-19 15:25:00+00:00,2025-06-19 15:26:00+00:00,2025-06-26 14:00:00+00:00,2025-06-19 15:00:00+00:00,25.0,0.5455921729754385,BUY_YES,0.24000000000000002,0.23,kalshi_candlestick,yes_ask_open,1.0,1,0.24000000000000002,0.01999999999999998,0.010000000000000009,0.26,0.28559217297543854,0.1527357415050618,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.9700000000003,0.76,0.74
12,NYC,2025-06-19,KXHIGHNY-25JUN19,KXHIGHNY-25JUN19-B93.5,2025-06-19 15:25:00+00:00,2025-06-19 15:26:00+00:00,2025-06-26 14:00:00+00:00,2025-06-19 15:00:00+00:00,25.0,0.4544078270245616,BUY_YES,0.15000000000000002,0.14,kalshi_candlestick,yes_ask_open,1.0,1,0.15000000000000002,0.00999999999999998,0.010000000000000009,0.16,0.29440782702456164,0.16155139555418488,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.9700000000003,-0.15000000000000002,-0.16
13,NYC,2025-07-19,KXHIGHNY-25JUL19,KXHIGHNY-25JUL19-B81.5,2025-07-19 13:40:00+00:00,2025-07-19 13:41:00+00:00,2025-07-26 14:00:00+00:00,2025-07-19 13:00:00+00:00,40.0,0.6810700544122178,BUY_YES,0.5,0.49,kalshi_candlestick,yes_ask_open,1.0,1,0.5,0.02,0.010000000000000009,0.52,0.1610700544122178,0.057670461405215936,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.2600000000002,0.5,0.48
14,NYC,2025-07-19,KXHIGHNY-25JUL19,KXHIGHNY-25JUL19-B85.5,2025-07-19 13:40:00+00:00,2025-07-19 13:42:00+00:00,2025-07-26 14:00:00+00:00,2025-07-19 13:00:00+00:00,40.0,0.31892994558778226,BUY_YES,0.08,0.07,kalshi_candlestick,yes_ask_open,2.0,1,0.08,0.01,0.009999999999999995,0.09,0.22892994558778224,0.12553035258078044,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.2600000000002,-0.08,-0.09
15,NYC,2025-07-20,KXHIGHNY-25JUL20,KXHIGHNY-25JUL20-T87,2025-07-20 15:10:00+00:00,2025-07-20 15:11:00+00:00,2025-07-27 14:00:00+00:00,2025-07-20 15:00:00+00:00,10.0,0.3225136820909991,BUY_YES,0.09,0.08,kalshi_candlestick,yes_ask_open,1.0,1,0.09,0.01,0.009999999999999995,0.09999999999999999,0.22251368209099912,0.10977473805193151,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.2600000000002,-0.09,-0.09999999999999999
16,NYC,2025-08-06,KXHIGHNY-25AUG06,KXHIGHNY-25AUG06-B83.5,2025-08-06 13:20:00+00:00,2025-08-06 13:21:00+00:00,2025-08-13 14:00:00+00:00,2025-08-06 13:00:00+00:00,20.0,0.3131425950450242,BUY_YES,0.14,0.13,kalshi_candlestick,yes_ask_open,1.0,1,0.14,0.01,0.010000000000000009,0.15000000000000002,0.16314259504502415,0.06081450958194657,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.6000000000003,-0.14,-0.15000000000000002
17,NYC,2025-08-06,KXHIGHNY-25AUG06,KXHIGHNY-25AUG06-T79,2025-08-06 13:20:00+00:00,2025-08-06 13:21:00+00:00,2025-08-13 14:00:00+00:00,2025-08-06 13:00:00+00:00,20.0,0.24439770643321215,BUY_YES,0.060000000000000005,0.05,kalshi_candlestick,yes_ask_open,1.0,1,0.060000000000000005,0.009999999999999995,0.010000000000000002,0.07,0.17439770643321217,0.06694127315334993,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.6000000000003,-0.060000000000000005,-0.07
18,NYC,2025-08-09,KXHIGHNY-25AUG09,KXHIGHNY-25AUG09-B81.5,2025-08-09 15:05:00+00:00,2025-08-09 15:06:00+00:00,2025-08-16 14:00:00+00:00,2025-08-09 15:00:00+00:00,5.0,0.47285019438288134,BUY_YES,0.14,0.13,kalshi_candlestick,yes_ask_open,1.0,1,0.14,0.01,0.010000000000000009,0.15000000000000002,0.3228501943828813,0.18891454144708653,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.6000000000003,-0.14,-0.15000000000000002
19,NYC,2025-08-09,KXHIGHNY-25AUG09,KXHIGHNY-25AUG09-B85.5,2025-08-09 15:05:00+00:00,2025-08-09 15:06:00+00:00,2025-08-16 14:00:00+00:00,2025-08-09 15:00:00+00:00,5.0,0.5271498056171188,BUY_YES,0.22,0.21,kalshi_candlestick,yes_ask_open,1.0,1,0.22,0.02,0.010000000000000009,0.24,0.2871498056171188,0.15321415268132393,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.6000000000003,0.78,0.76
20,NYC,2025-08-10,KXHIGHNY-25AUG10,KXHIGHNY-25AUG10-B85.5,2025-08-10 15:20:00+00:00,2025-08-10 15:21:00+00:00,2025-08-17 14:00:00+00:00,2025-08-10 15:00:00+00:00,20.0,0.34105654757779114,BUY_YES,0.04,0.03,kalshi_candlestick,yes_ask_open,1.0,1,0.04,0.01,0.010000000000000002,0.05,0.29105654757779115,0.07277048940127344,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.6000000000003,-0.04,-0.05
