trade_id,city,target_date,event_ticker,market_ticker,signal_timestamp,execution_timestamp,settlement_timestamp,prediction_time,probability_age_minutes,model_probability,side,entry_price,unadjusted_entry_price,quote_source,quote_field,execution_gap_minutes,contracts,gross_cost,fees,slippage_per_contract,cash_committed,predicted_edge,lower_confidence_edge,settlement,settlement_source,execution_assumption,evidence_label,supports_profitability_claim,cash_after_settlement,gross_pnl,net_pnl
11,NYC,2025-06-12,KXHIGHNY-25JUN12,KXHIGHNY-25JUN12-B87.5,2025-06-12 15:25:00+00:00,2025-06-12 15:26:00+00:00,2025-06-19 14:00:00+00:00,2025-06-12 15:00:00+00:00,25.0,0.7174600802912595,BUY_YES,0.48,0.47,kalshi_candlestick,yes_ask_open,1.0,1,0.48,0.02,0.010000000000000009,0.5,0.21746008029125954,0.10488537392180365,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1002.95,0.52,0.5
12,NYC,2025-06-15,KXHIGHNY-25JUN15,KXHIGHNY-25JUN15-B64.5,2025-06-15 18:05:00+00:00,2025-06-15 18:06:00+00:00,2025-06-22 14:00:00+00:00,2025-06-15 18:00:00+00:00,5.0,0.8209315920026593,BUY_YES,0.29000000000000004,0.28,kalshi_candlestick,yes_ask_open,1.0,1,0.29000000000000004,0.01999999999999996,0.010000000000000009,0.31,0.5109315920026594,0.24733280498645988,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1003.1100000000001,0.71,0.69
13,NYC,2025-06-19,KXHIGHNY-25JUN19,KXHIGHNY-25JUN19-B87.5,2025-06-19 15:25:00+00:00,2025-06-19 15:26:00+00:00,2025-06-26 14:00:00+00:00,2025-06-19 15:00:00+00:00,25.0,0.5598921155895353,BUY_YES,0.24000000000000002,0.23,kalshi_candlestick,yes_ask_open,1.0,1,0.24000000000000002,0.01999999999999998,0.010000000000000009,0.26,0.2998921155895354,0.17521495214756444,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1004.1100000000001,0.76,0.74
14,NYC,2025-06-19,KXHIGHNY-25JUN19,KXHIGHNY-25JUN19-B93.5,2025-06-19 15:25:00+00:00,2025-06-19 15:26:00+00:00,2025-06-26 14:00:00+00:00,2025-06-19 15:00:00+00:00,25.0,0.4401078844104646,BUY_YES,0.15000000000000002,0.14,kalshi_candlestick,yes_ask_open,1.0,1,0.15000000000000002,0.00999999999999998,0.010000000000000009,0.16,0.28010788441046464,0.15543072096849378,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1004.1100000000001,-0.15000000000000002,-0.16
15,NYC,2025-06-21,KXHIGHNY-25JUN21,KXHIGHNY-25JUN21-B86.5,2025-06-21 15:45:00+00:00,2025-06-21 15:46:00+00:00,2025-06-28 14:00:00+00:00,2025-06-21 15:00:00+00:00,45.0,0.5841489523129553,BUY_YES,0.4,0.39,kalshi_candlestick,yes_ask_open,1.0,1,0.4,0.02,0.010000000000000009,0.42000000000000004,0.16414895231295526,0.05854305349821411,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1005.1100000000001,0.6,0.58
16,NYC,2025-07-19,KXHIGHNY-25JUL19,KXHIGHNY-25JUL19-B81.5,2025-07-19 13:40:00+00:00,2025-07-19 13:41:00+00:00,2025-07-26 14:00:00+00:00,2025-07-19 13:00:00+00:00,40.0,0.7426078638016363,BUY_YES,0.5,0.49,kalshi_candlestick,yes_ask_open,1.0,1,0.5,0.02,0.010000000000000009,0.52,0.22260786380163636,0.13193402509312616,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1004.8500000000001,0.5,0.48
17,NYC,2025-07-19,KXHIGHNY-25JUL19,KXHIGHNY-25JUL19-B85.5,2025-07-19 13:40:00+00:00,2025-07-19 13:42:00+00:00,2025-07-26 14:00:00+00:00,2025-07-19 13:00:00+00:00,40.0,0.2573921361983637,BUY_YES,0.08,0.07,kalshi_candlestick,yes_ask_open,2.0,1,0.08,0.01,0.009999999999999995,0.09,0.16739213619836368,0.07671829748985357,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1004.8500000000001,-0.08,-0.09
18,NYC,2025-07-20,KXHIGHNY-25JUL20,KXHIGHNY-25JUL20-B87.5,2025-07-20 15:10:00+00:00,2025-07-20 15:11:00+00:00,2025-07-27 14:00:00+00:00,2025-07-20 15:00:00+00:00,10.0,0.7370569014363191,BUY_YES,0.53,0.52,kalshi_candlestick,yes_ask_open,1.0,1,0.53,0.02,0.010000000000000009,0.55,0.18705690143631906,0.08972953035563637,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1005.8500000000001,0.47,0.44999999999999996
19,NYC,2025-07-20,KXHIGHNY-25JUL20,KXHIGHNY-25JUL20-T87,2025-07-20 15:10:00+00:00,2025-07-20 15:11:00+00:00,2025-07-27 14:00:00+00:00,2025-07-20 15:00:00+00:00,10.0,0.26294309856368087,BUY_YES,0.09,0.08,kalshi_candlestick,yes_ask_open,1.0,1,0.09,0.01,0.009999999999999995,0.09999999999999999,0.16294309856368086,0.06561572748299828,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1005.8500000000001,-0.09,-0.09999999999999999
20,NYC,2025-08-06,KXHIGHNY-25AUG06,KXHIGHNY-25AUG06-B79.5,2025-08-06 13:20:00+00:00,2025-08-06 13:21:00+00:00,2025-08-13 14:00:00+00:00,2025-08-06 13:00:00+00:00,20.0,0.4898577433470597,BUY_YES,0.29000000000000004,0.28,kalshi_candlestick,yes_ask_open,1.0,1,0.29000000000000004,0.01999999999999996,0.010000000000000009,0.31,0.17985774334705973,0.05844055558598227,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1005.4900000000002,0.71,0.69
21,NYC,2025-08-06,KXHIGHNY-25AUG06,KXHIGHNY-25AUG06-B83.5,2025-08-06 13:20:00+00:00,2025-08-06 13:21:00+00:00,2025-08-13 14:00:00+00:00,2025-08-06 13:00:00+00:00,20.0,0.3005346787956603,BUY_YES,0.14,0.13,kalshi_candlestick,yes_ask_open,1.0,1,0.14,0.01,0.010000000000000009,0.15000000000000002,0.1505346787956603,0.052152797776336586,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1005.4900000000002,-0.14,-0.15000000000000002
22,NYC,2025-08-09,KXHIGHNY-25AUG09,KXHIGHNY-25AUG09-B81.5,2025-08-09 15:05:00+00:00,2025-08-09 15:06:00+00:00,2025-08-16 14:00:00+00:00,2025-08-09 15:00:00+00:00,5.0,0.45804470842393774,BUY_YES,0.14,0.13,kalshi_candlestick,yes_ask_open,1.0,1,0.14,0.01,0.010000000000000009,0.15000000000000002,0.3080447084239377,0.18090040473918417,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1005.4900000000002,-0.14,-0.15000000000000002
23,NYC,2025-08-09,KXHIGHNY-25AUG09,KXHIGHNY-25AUG09-B85.5,2025-08-09 15:05:00+00:00,2025-08-09 15:06:00+00:00,2025-08-16 14:00:00+00:00,2025-08-09 15:00:00+00:00,5.0,0.5419552915760621,BUY_YES,0.22,0.21,kalshi_candlestick,yes_ask_open,1.0,1,0.22,0.02,0.010000000000000009,0.24,0.30195529157606216,0.1748109878913086,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1006.4900000000002,0.78,0.76
24,NYC,2025-08-11,KXHIGHNY-25AUG11,KXHIGHNY-25AUG11-B88.5,2025-08-11 17:40:00+00:00,2025-08-11 17:41:00+00:00,2025-08-18 14:00:00+00:00,2025-08-11 17:00:00+00:00,40.0,0.7800092741209903,BUY_YES,0.49,0.48,kalshi_candlestick,yes_ask_open,1.0,1,0.49,0.02,0.010000000000000009,0.51,0.2700092741209903,0.08911407980356668,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1007.4900000000002,0.51,0.49
25,NYC,2025-08-19,KXHIGHNY-25AUG19,KXHIGHNY-25AUG19-B77.5,2025-08-19 15:25:00+00:00,2025-08-19 15:26:00+00:00,2025-08-26 14:00:00+00:00,2025-08-19 15:00:00+00:00,25.0,0.5758809420203876,BUY_YES,0.39,0.38,kalshi_candlestick,yes_ask_open,1.0,1,0.39,0.02,0.010000000000000009,0.41000000000000003,0.16588094202038764,0.05819112951941503,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1007.6200000000002,0.61,0.59
26,NYC,2025-08-21,KXHIGHNY-25AUG21,KXHIGHNY-25AUG21-B71.5,2025-08-21 15:35:00+00:00,2025-08-21 15:36:00+00:00,2025-08-28 14:00:00+00:00,2025-08-21 15:00:00+00:00,35.0,0.7146420673475697,BUY_YES,0.44,0.43,kalshi_candlestick,yes_ask_open,1.0,1,0.44,0.02,0.010000000000000009,0.46,0.2546420673475697,0.06543073915432936,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1007.9200000000002,0.56,0.54
